Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
nAts,TL,https://www.vlr.gg/player/457/nats,EMEA,247100,all,,1.33,263,54,39,10,1.38,79%,172,31%,8,5,bo3
Sayf,TL,https://www.vlr.gg/player/312/sayf,EMEA,247100,all,,1.04,205,40,41,18,0.98,75%,145,20%,4,5,bo3
Jamppi,TL,https://www.vlr.gg/player/9780/jamppi,EMEA,247100,all,,0.92,194,38,38,4,1.0,59%,125,20%,8,8,bo3
soulcas,TL,https://www.vlr.gg/player/101/soulcas,EMEA,247100,all,,0.76,127,24,33,17,0.73,64%,76,44%,3,3,bo3
Redgar,TL,https://www.vlr.gg/player/1427/redgar,EMEA,247100,all,,0.76,153,29,42,19,0.69,68%,107,31%,5,7,bo3
SUYGETSU,NAVI,https://www.vlr.gg/player/2858/suygetsu,EMEA,247100,all,,1.24,192,41,28,14,1.46,79%,135,40%,3,2,bo3
cNed,NAVI,https://www.vlr.gg/player/573/cned,EMEA,247100,all,,1.04,184,38,34,12,1.12,73%,119,27%,4,6,bo3
Shao,NAVI,https://www.vlr.gg/player/384/shao,EMEA,247100,all,,1.02,183,36,38,19,0.95,73%,126,27%,5,4,bo3
ANGE1,NAVI,https://www.vlr.gg/player/109/ange1,EMEA,247100,all,,0.97,200,39,42,21,0.93,75%,137,31%,7,7,bo3
Zyppan,NAVI,https://www.vlr.gg/player/11/zyppan,EMEA,247100,all,,0.87,208,39,43,6,0.91,57%,145,26%,9,9,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,247101,all,,1.1,187,44,40,30,1.1,71%,114,31%,1,2,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,247101,all,,1.08,206,49,43,16,1.14,66%,135,23%,4,7,bo3
Zest,KRX,https://www.vlr.gg/player/772/zest,Pacific,247101,all,,1.06,229,51,50,25,1.02,74%,158,29%,5,7,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,247101,all,,1.04,189,49,48,22,1.02,66%,124,34%,4,6,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,247101,all,,0.81,214,48,55,15,0.87,59%,132,21%,14,18,bo3
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,247101,all,,1.22,257,61,51,21,1.2,76%,174,24%,14,8,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,247101,all,,1.05,207,49,48,31,1.02,69%,130,20%,7,3,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,247101,all,,1.0,201,49,49,18,1.0,74%,129,25%,6,5,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,247101,all,,0.92,162,40,48,39,0.83,76%,101,26%,7,6,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,247101,all,,0.84,153,37,45,15,0.82,65%,102,18%,6,6,bo3
MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,EMEA,247087,all,,1.3,211,27,19,23,1.42,97%,128,17%,1,1,bo3
MOJJ,FUT,https://www.vlr.gg/player/3604/mojj,EMEA,247087,all,,1.26,281,37,24,10,1.54,78%,184,30%,4,6,bo3
qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,EMEA,247087,all,,1.21,244,36,25,12,1.44,86%,158,30%,4,0,bo3
AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,EMEA,247087,all,,1.19,196,24,21,30,1.14,81%,127,36%,2,2,bo3
qw1,FUT,https://www.vlr.gg/player/10125/qw1,EMEA,247087,all,,1.11,240,35,24,2,1.46,78%,148,32%,12,5,bo3
Munchkin,T1,https://www.vlr.gg/player/2489/munchkin,Pacific,247087,all,,1.01,238,30,32,8,0.94,62%,156,23%,4,5,bo3
xeta,T1,https://www.vlr.gg/player/474/xeta,Pacific,247087,all,,0.96,207,24,30,11,0.8,78%,139,26%,2,4,bo3
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,247087,all,,0.92,207,25,33,5,0.76,54%,140,24%,6,5,bo3
ban,T1,https://www.vlr.gg/player/5129/ban,Pacific,247087,all,,0.77,155,19,30,13,0.63,62%,97,32%,1,4,bo3
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,247087,all,,0.38,116,15,34,3,0.44,43%,74,27%,1,5,bo3
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,247086,all,,1.43,246,40,26,17,1.54,79%,170,39%,2,4,bo3
Demon1,EG,https://www.vlr.gg/player/26171/demon1,Americas,247086,all,,1.26,272,43,28,3,1.54,67%,177,45%,7,7,bo3
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,247086,all,,1.24,199,28,24,32,1.17,86%,139,22%,5,0,bo3
