Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
wqc,NOVA,https://www.vlr.gg/player/4403/wqc,CN,221178,all,,bo3,0.94,245,31,32,4,61%,151,46%,7,9,0.97
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,221178,all,,bo3,0.89,199,24,30,5,58%,137,31%,4,4,0.8
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,221178,all,,bo3,0.81,182,20,30,11,58%,114,21%,3,1,0.67
PangH,NOVA,https://www.vlr.gg/player/4727/pangh,CN,221178,all,,bo3,0.76,136,18,28,8,55%,91,30%,1,1,0.64
DanGe,NOVA,https://www.vlr.gg/player/39522/dange,CN,221178,all,,bo3,0.31,80,11,32,5,42%,53,30%,1,7,0.34
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,221178,all,,bo3,1.79,315,43,18,4,71%,208,31%,9,5,2.39
maizi,TYL,https://www.vlr.gg/player/3517/maizi,CN,221178,all,,bo3,1.14,213,28,23,7,68%,144,27%,5,3,1.22
Core,TYL,https://www.vlr.gg/player/3124/core,CN,221178,all,,bo3,1.12,180,24,18,15,95%,116,27%,0,1,1.33
Abo,TYL,https://www.vlr.gg/player/5011/abo,CN,221178,all,,bo3,1.06,214,29,23,7,68%,133,33%,6,2,1.26
LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,CN,221178,all,,bo3,0.95,193,28,22,10,76%,112,21%,2,5,1.27
Ichiro,DRG,https://www.vlr.gg/player/3943/ichiro,CN,221843,all,,bo3,1.23,228,36,30,12,64%,147,27%,2,1,1.2
Zeno,DRG,https://www.vlr.gg/player/11705/zeno,CN,221843,all,,bo3,0.85,173,24,35,15,79%,116,18%,3,2,0.69
PAULTATO,DRG,https://www.vlr.gg/player/10496/paultato,CN,221843,all,,bo3,0.80,192,28,35,11,60%,123,25%,1,4,0.8
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,221843,all,,bo3,0.58,117,13,32,18,67%,85,20%,3,1,0.41
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,221843,all,,bo3,0.54,168,24,39,6,48%,113,20%,9,16,0.62
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,221843,all,,bo3,1.34,242,38,23,6,81%,165,29%,8,6,1.65
LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,CN,221843,all,,bo3,1.29,239,35,25,19,81%,161,27%,2,2,1.4
Core,TYL,https://www.vlr.gg/player/3124/core,CN,221843,all,,bo3,1.20,195,32,25,18,88%,126,28%,1,1,1.28
Abo,TYL,https://www.vlr.gg/player/5011/abo,CN,221843,all,,bo3,1.19,246,34,26,10,74%,153,29%,8,6,1.31
maizi,TYL,https://www.vlr.gg/player/3517/maizi,CN,221843,all,,bo3,1.07,212,32,26,10,79%,148,19%,5,3,1.23
zjc,ASE,https://www.vlr.gg/player/7135/zjc,CN,235552,all,,bo3,,243,55,51,17,,,,,,1.08
Life,ASE,https://www.vlr.gg/player/3028/life,CN,235552,all,,bo3,,228,54,49,9,,,,,,1.1
monk,ASE,https://www.vlr.gg/player/14431/monk,CN,235552,all,,bo3,,201,43,46,16,,,,,,0.93
bunt,ASE,https://www.vlr.gg/player/25949/bunt,CN,235552,all,,bo3,,194,41,43,37,,,,,,0.95
Zero1,ASE,https://www.vlr.gg/player/3025/zero1,CN,235552,all,,bo3,,173,39,42,34,,,,,,0.93
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,235552,all,,bo3,,255,60,47,10,,,,,,1.28
Flex1n,TE,https://www.vlr.gg/player/4705/flex1n,CN,235552,all,,bo3,,218,52,39,22,,,,,,1.33
ICEKING,TE,https://www.vlr.gg/player/4771/iceking,CN,235552,all,,bo3,,199,42,52,37,,,,,,0.81
heybay,TE,https://www.vlr.gg/player/4712/heybay,CN,235552,all,,bo3,,174,39,49,15,,,,,,0.8
YOU,TE,https://www.vlr.gg/player/4710/you,CN,235552,all,,bo3,,169,38,45,24,,,,,,0.84
nizhaoTZH,FPX,https://www.vlr.gg/player/4880/nizhaotzh,CN,235554,all,,bo3,,241,37,31,15,,,,,,1.19
Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,CN,235554,all,,bo3,,235,36,34,8,,,,,,1.06
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,235554,all,,bo3,,209,30,36,12,,,,,,0.83
Yuicaw,FPX,https://www.vlr.gg/player/11218/yuicaw,CN,235554,all,,bo3,,149,23,35,7,,,,,,0.66
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,235554,all,,bo3,,147,22,33,9,,,,,,0.67
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,235554,all,,bo3,,287,47,30,8,,,,,,1.57
suyjing,TYL,https://www.vlr.gg/player/4404/suyjing,CN,235554,all,,bo3,,198,31,32,10,,,,,,0.97
Abo,TYL,https://www.vlr.gg/player/5011/abo,CN,235554,all,,bo3,,186,28,34,16,,,,,,0.82
LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,CN,235554,all,,bo3,,185,30,26,11,,,,,,1.15
Core,TYL,https://www.vlr.gg/player/3124/core,CN,235554,all,,bo3,,180,33,26,20,,,,,,1.27
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,235556,all,,bo5,,202,37,41,8,,,,,,0.9
ICEKING,TE,https://www.vlr.gg/player/4771/iceking,CN,235556,all,,bo5,,181,37,42,21,,,,,,0.88
heybay,TE,https://www.vlr.gg/player/4712/heybay,CN,235556,all,,bo5,,163,34,45,12,,,,,,0.76
YOU,TE,https://www.vlr.gg/player/4710/you,CN,235556,all,,bo5,,159,29,48,17,,,,,,0.6
Flex1n,TE,https://www.vlr.gg/player/4705/flex1n,CN,235556,all,,bo5,,150,33,44,19,,,,,,0.75
whzy,BLG,https://www.vlr.gg/player/4885/whzy,CN,235556,all,,bo5,,283,54,37,15,,,,,,1.46
yosemite,BLG,https://www.vlr.gg/player/6022/yosemite,CN,235556,all,,bo5,,253,50,34,19,,,,,,1.47
Knight,BLG,https://www.vlr.gg/player/4774/knight,CN,235556,all,,bo5,,197,37,38,20,,,,,,0.97
Biank,BLG,https://www.vlr.gg/player/3021/biank,CN,235556,all,,bo5,,192,45,29,17,,,,,,1.55
DK,BLG,https://www.vlr.gg/player/3024/dk,CN,235556,all,,bo5,,157,34,32,22,,,,,,1.06
Abo,TYL,https://www.vlr.gg/player/5011/abo,CN,235557,all,,bo5,,219,39,43,3,,,,,,0.91
Core,TYL,https://www.vlr.gg/player/3124/core,CN,235557,all,,bo5,,186,33,40,10,,,,,,0.82
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,235557,all,,bo5,,162,25,45,7,,,,,,0.56
suyjing,TYL,https://www.vlr.gg/player/4404/suyjing,CN,235557,all,,bo5,,119,21,42,7,,,,,,0.5
LuoK1ng,TYL,https://www.vlr.gg/player/3045/luok1ng,CN,235557,all,,bo5,,113,17,41,15,,,,,,0.41
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,235557,all,,bo5,,357,67,29,6,,,,,,2.31
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,235557,all,,bo5,,220,42,28,19,,,,,,1.5
