Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Polvi,GE,https://www.vlr.gg/player/1839/polvi,Mixed,289448,all,,bo3,0.91,210,28,31,1,45%,130,27%,5,8,0.9
Lightningfast,GE,https://www.vlr.gg/player/3626/lightningfast,Mixed,289448,all,,bo3,0.72,143,18,31,8,50%,95,33%,4,2,0.58
Russ,GE,https://www.vlr.gg/player/1162/russ,Mixed,289448,all,,bo3,0.67,146,20,32,8,45%,94,47%,4,3,0.62
blaZek1ng,GE,https://www.vlr.gg/player/1743/blazek1ng,Mixed,289448,all,,bo3,0.66,141,16,31,12,58%,95,38%,2,3,0.52
skillZ,GE,https://www.vlr.gg/player/3630/skillz,Mixed,289448,all,,bo3,0.50,124,15,33,4,55%,95,28%,0,7,0.45
runneR,VIT,https://www.vlr.gg/player/21610/runner,Mixed,289448,all,,bo3,1.80,338,49,20,4,82%,222,33%,11,6,2.45
Sayf,VIT,https://www.vlr.gg/player/312/sayf,Mixed,289448,all,,bo3,1.31,231,33,18,14,84%,162,24%,4,4,1.83
Destrian,VIT,https://www.vlr.gg/player/1615/destrian,Mixed,289448,all,,bo3,1.22,240,32,22,11,76%,160,27%,3,1,1.45
ceNder,VIT,https://www.vlr.gg/player/4321/cender,Mixed,289448,all,,bo3,1.06,166,24,20,12,79%,102,33%,2,2,1.2
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,Mixed,289448,all,,bo3,1.00,128,20,17,15,79%,73,23%,3,2,1.18
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Mixed,289450,all,,bo3,1.26,261,41,30,7,65%,178,21%,11,9,1.37
liazzi,FUR,https://www.vlr.gg/player/2567/liazzi,Mixed,289450,all,,bo3,1.12,212,30,27,22,81%,129,22%,7,0,1.11
kon4n,FUR,https://www.vlr.gg/player/1671/kon4n,Mixed,289450,all,,bo3,0.79,149,22,30,15,63%,102,37%,2,3,0.73
havoc,FUR,https://www.vlr.gg/player/8706/havoc,Mixed,289450,all,,bo3,0.64,139,20,32,19,65%,94,40%,3,5,0.62
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Mixed,289450,all,,bo3,0.63,156,23,36,4,56%,111,29%,2,1,0.64
runneR,VIT,https://www.vlr.gg/player/21610/runner,Mixed,289450,all,,bo3,1.44,290,44,29,8,74%,178,24%,9,6,1.52
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,Mixed,289450,all,,bo3,1.44,242,41,23,15,74%,161,25%,3,6,1.78
Destrian,VIT,https://www.vlr.gg/player/1615/destrian,Mixed,289450,all,,bo3,1.13,187,25,25,23,77%,116,26%,2,3,1.0
ceNder,VIT,https://www.vlr.gg/player/4321/cender,Mixed,289450,all,,bo3,0.82,137,19,27,14,70%,94,26%,1,3,0.7
Sayf,VIT,https://www.vlr.gg/player/312/sayf,Mixed,289450,all,,bo3,0.78,176,26,32,13,67%,115,26%,3,7,0.81
cNed,FUT,https://www.vlr.gg/player/573/cned,Mixed,289451,all,,bo3,1.14,240,61,48,3,68%,165,26%,10,11,1.27
