Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
frz,MIBR,https://www.vlr.gg/player/651/frz,Americas,232729,all,,bo3,1.06,233,33,31,10,73%,153,29%,8,4,1.06
jzz,MIBR,https://www.vlr.gg/player/13093/jzz,Americas,232729,all,,bo3,1.06,225,31,30,4,68%,146,33%,7,7,1.03
murizzz,MIBR,https://www.vlr.gg/player/783/murizzz,Americas,232729,all,,bo3,0.99,196,27,31,10,61%,143,29%,2,2,0.87
RgLMeister,MIBR,https://www.vlr.gg/player/5351/rglmeister,Americas,232729,all,,bo3,0.80,152,22,28,14,73%,102,23%,2,2,0.79
TxoziN,MIBR,https://www.vlr.gg/player/941/txozin,Americas,232729,all,,bo3,0.54,109,12,30,11,59%,78,9%,1,6,0.4
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,232729,all,,bo3,1.23,211,32,22,11,78%,134,26%,4,1,1.45
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,232729,all,,bo3,1.23,263,35,27,16,80%,173,15%,6,4,1.3
Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,Americas,232729,all,,bo3,1.23,217,33,27,26,78%,119,33%,3,7,1.22
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,232729,all,,bo3,1.15,236,35,27,10,78%,150,28%,6,4,1.3
NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,Americas,232729,all,,bo3,0.82,118,15,22,21,71%,86,22%,2,4,0.68
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Americas,232731,all,,bo3,1.10,242,52,49,10,63%,156,15%,5,6,1.06
dgzin,FUR,https://www.vlr.gg/player/8873/dgzin,Americas,232731,all,,bo3,0.91,221,52,52,8,69%,135,30%,16,15,1.0
kon4n,FUR,https://www.vlr.gg/player/1671/kon4n,Americas,232731,all,,bo3,0.90,181,40,49,30,72%,131,19%,1,3,0.82
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Americas,232731,all,,bo3,0.89,159,39,44,20,75%,107,31%,4,1,0.89
mazin,FUR,https://www.vlr.gg/player/8872/mazin,Americas,232731,all,,bo3,0.88,175,40,47,22,72%,106,32%,6,10,0.85
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,232731,all,,bo3,1.56,316,71,45,16,81%,203,17%,8,8,1.58
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,232731,all,,bo3,1.05,206,49,45,19,78%,128,37%,7,7,1.09
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,232731,all,,bo3,0.91,188,43,46,19,72%,111,30%,10,9,0.93
Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,Americas,232731,all,,bo3,0.89,167,42,46,25,82%,103,23%,8,4,0.91
NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,Americas,232731,all,,bo3,0.80,141,36,41,8,64%,93,21%,2,4,0.88
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,232730,all,,bo3,1.29,268,62,43,14,71%,185,30%,10,13,1.44
TenZ,SEN,https://www.vlr.gg/player/9/tenz,Americas,232730,all,,bo3,1.10,236,55,47,25,73%,143,21%,12,9,1.17
Sacy,SEN,https://www.vlr.gg/player/659/sacy,Americas,232730,all,,bo3,1.07,199,47,43,24,70%,139,27%,6,5,1.09
Marved,SEN,https://www.vlr.gg/player/263/marved,Americas,232730,all,,bo3,1.03,187,44,47,31,80%,122,29%,6,3,0.94
pANcada,SEN,https://www.vlr.gg/player/683/pancada,Americas,232730,all,,bo3,0.93,138,34,35,9,73%,105,28%,1,1,0.97
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,232730,all,,bo3,1.19,276,65,52,6,67%,170,29%,18,9,1.25
stellar,100T,https://www.vlr.gg/player/733/stellar,Americas,232730,all,,bo3,1.01,199,46,45,16,73%,135,25%,5,7,1.02
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,232730,all,,bo3,0.94,195,41,46,18,70%,124,17%,6,6,0.89
bang,100T,https://www.vlr.gg/player/3880/bang,Americas,232730,all,,bo3,0.83,161,36,48,25,71%,118,29%,0,8,0.75
Derrek,100T,https://www.vlr.gg/player/1533/derrek,Americas,232730,all,,bo3,0.68,121,27,51,21,68%,87,30%,2,5,0.53
leaf,C9,https://www.vlr.gg/player/7873/leaf,Americas,232732,all,,bo3,1.19,243,52,44,14,73%,159,31%,9,5,1.18
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,232732,all,,bo3,1.13,255,50,46,25,78%,166,24%,7,12,1.09
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,232732,all,,bo3,1.06,179,35,37,28,77%,112,20%,4,1,0.95
runi,C9,https://www.vlr.gg/player/16003/runi,Americas,232732,all,,bo3,1.01,159,36,40,26,72%,108,30%,3,2,0.9
jakee,C9,https://www.vlr.gg/player/8742/jakee,Americas,232732,all,,bo3,0.84,167,36,45,20,67%,117,39%,6,11,0.8
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,232732,all,,bo3,1.18,259,53,42,18,72%,177,19%,8,7,1.26
pANcada,SEN,https://www.vlr.gg/player/683/pancada,Americas,232732,all,,bo3,1.09,177,39,33,10,73%,125,27%,2,3,1.18
Sacy,SEN,https://www.vlr.gg/player/659/sacy,Americas,232732,all,,bo3,1.09,218,48,40,25,73%,135,28%,4,2,1.2
TenZ,SEN,https://www.vlr.gg/player/9/tenz,Americas,232732,all,,bo3,0.90,199,38,48,40,78%,122,19%,8,6,0.79
Marved,SEN,https://www.vlr.gg/player/263/marved,Americas,232732,all,,bo3,0.75,168,34,46,21,72%,112,25%,9,11,0.74
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,232733,all,,bo3,1.40,292,38,27,8,71%,189,37%,2,5,1.41
Shyy,LEV,https://www.vlr.gg/player/24007/shyy,Americas,232733,all,,bo3,1.01,192,24,29,10,66%,143,30%,2,3,0.83
nzr,LEV,https://www.vlr.gg/player/725/nzr,Americas,232733,all,,bo3,0.82,153,18,26,6,76%,107,17%,2,4,0.69
Mazino,LEV,https://www.vlr.gg/player/7603/mazino,Americas,232733,all,,bo3,0.59,167,21,33,14,63%,111,21%,2,6,0.64
Tacolilla,LEV,https://www.vlr.gg/player/3828/tacolilla,Americas,232733,all,,bo3,0.34,109,14,33,2,45%,75,19%,4,8,0.42
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,232733,all,,bo3,1.70,337,44,24,10,92%,218,16%,8,4,1.83
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,232733,all,,bo3,1.33,188,29,18,4,68%,133,42%,2,2,1.61
Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,Americas,232733,all,,bo3,1.06,199,26,25,23,84%,130,26%,7,2,1.04
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,232733,all,,bo3,1.00,192,28,23,8,84%,122,38%,4,2,1.22
NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,Americas,232733,all,,bo3,0.84,155,21,25,12,76%,113,27%,5,2,0.84
leaf,C9,https://www.vlr.gg/player/7873/leaf,Americas,232734,all,,bo3,1.14,251,48,42,12,72%,174,29%,9,11,1.14
runi,C9,https://www.vlr.gg/player/16003/runi,Americas,232734,all,,bo3,0.96,174,34,35,13,75%,119,29%,4,2,0.97
jakee,C9,https://www.vlr.gg/player/8742/jakee,Americas,232734,all,,bo3,0.93,199,37,42,20,74%,125,34%,5,6,0.88
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,232734,all,,bo3,0.77,164,28,38,10,68%,113,15%,4,5,0.74
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,232734,all,,bo3,0.68,158,26,43,23,60%,100,20%,1,6,0.6
NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,Americas,232734,all,,bo3,1.25,195,38,27,12,79%,132,25%,5,1,1.41
Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,Americas,232734,all,,bo3,1.18,236,48,38,18,79%,147,23%,7,1,1.26
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,232734,all,,bo3,1.10,188,37,32,13,72%,129,30%,5,6,1.16
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,232734,all,,bo3,1.06,211,39,35,25,79%,136,28%,6,5,1.11
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,232734,all,,bo3,1.03,218,38,41,27,77%,156,24%,7,10,0.93
TenZ,SEN,https://www.vlr.gg/player/9/tenz,Americas,232736,all,,bo3,1.01,209,27,30,11,63%,137,39%,3,3,0.9
pANcada,SEN,https://www.vlr.gg/player/683/pancada,Americas,232736,all,,bo3,0.97,195,26,28,8,68%,128,27%,4,3,0.93
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,232736,all,,bo3,0.82,215,26,33,9,68%,146,19%,5,8,0.79
Marved,SEN,https://www.vlr.gg/player/263/marved,Americas,232736,all,,bo3,0.62,153,20,31,12,55%,113,26%,1,4,0.65
Sacy,SEN,https://www.vlr.gg/player/659/sacy,Americas,232736,all,,bo3,0.54,109,15,32,16,68%,72,21%,2,5,0.47
Mazino,LEV,https://www.vlr.gg/player/7603/mazino,Americas,232736,all,,bo3,1.44,270,39,21,11,84%,167,26%,4,1,1.86
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,232736,all,,bo3,1.37,258,35,21,8,79%,157,25%,9,5,1.67
Shyy,LEV,https://www.vlr.gg/player/24007/shyy,Americas,232736,all,,bo3,1.20,187,25,23,22,82%,124,28%,1,2,1.09
nzr,LEV,https://www.vlr.gg/player/725/nzr,Americas,232736,all,,bo3,1.15,207,28,24,21,84%,138,16%,2,3,1.17
Tacolilla,LEV,https://www.vlr.gg/player/3828/tacolilla,Americas,232736,all,,bo3,0.91,199,27,25,3,74%,128,20%,7,4,1.08
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,232737,all,,bo5,1.00,169,69,71,26,71%,111,19%,6,8,0.97
jakee,C9,https://www.vlr.gg/player/8742/jakee,Americas,232737,all,,bo5,0.98,195,76,82,28,73%,128,28%,6,10,0.93
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Americas,232737,all,,bo5,0.89,187,70,84,40,72%,122,18%,6,11,0.83
runi,C9,https://www.vlr.gg/player/16003/runi,Americas,232737,all,,bo5,0.89,168,64,79,29,66%,109,26%,4,4,0.81
leaf,C9,https://www.vlr.gg/player/7873/leaf,Americas,232737,all,,bo5,0.79,207,73,92,19,60%,135,23%,22,32,0.79
nzr,LEV,https://www.vlr.gg/player/725/nzr,Americas,232737,all,,bo5,1.21,219,84,63,36,83%,144,21%,14,4,1.33
Shyy,LEV,https://www.vlr.gg/player/24007/shyy,Americas,232737,all,,bo5,1.15,209,85,67,32,78%,144,24%,9,5,1.27
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,232737,all,,bo5,1.10,213,77,70,56,83%,140,29%,9,8,1.1
Mazino,LEV,https://www.vlr.gg/player/7603/mazino,Americas,232737,all,,bo5,1.09,219,85,72,35,73%,141,25%,9,8,1.18
Tacolilla,LEV,https://www.vlr.gg/player/3828/tacolilla,Americas,232737,all,,bo5,0.94,205,77,80,20,74%,135,19%,24,19,0.96
