Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,183774,all,,1.26,251.0,62,47,28,1.32,76%,166.0,23%,7.0,12.0,bo3
Sacy,SEN,https://www.vlr.gg/player/659/sacy,Americas,183774,all,,1.17,223.0,57,49,40,1.16,78%,149.0,31%,6.0,3.0,bo3
TenZ,SEN,https://www.vlr.gg/player/9/tenz,Americas,183774,all,,1.16,253.0,68,50,11,1.36,74%,157.0,16%,13.0,15.0,bo3
pANcada,SEN,https://www.vlr.gg/player/683/pancada,Americas,183774,all,,1.05,187.0,50,48,17,1.04,72%,130.0,24%,0.0,8.0,bo3
dephh,SEN,https://www.vlr.gg/player/882/dephh,Americas,183774,all,,0.88,160.0,43,50,35,0.86,72%,113.0,26%,4.0,8.0,bo3
Asuna,100T,https://www.vlr.gg/player/601/asuna,Americas,183774,all,,1.21,251.0,60,56,36,1.07,74%,167.0,17%,14.0,5.0,bo3
Derrek,100T,https://www.vlr.gg/player/1533/derrek,Americas,183774,all,,0.92,165.0,44,52,27,0.85,67%,107.0,28%,6.0,4.0,bo3
bang,100T,https://www.vlr.gg/player/3880/bang,Americas,183774,all,,0.86,178.0,49,58,22,0.84,64%,112.0,33%,4.0,7.0,bo3
stellar,100T,https://www.vlr.gg/player/733/stellar,Americas,183774,all,,0.85,165.0,44,56,16,0.79,72%,105.0,23%,8.0,4.0,bo3
Cryocells,100T,https://www.vlr.gg/player/4147/cryocells,Americas,183774,all,,0.8,168.0,47,58,17,0.81,64%,115.0,19%,14.0,10.0,bo3
DaveeyS,KRÜ,https://www.vlr.gg/player/2764/daveeys,Americas,183775,all,,1.09,215.0,27,30,22,0.9,79%,139.0,20%,6.0,3.0,bo3
NagZ,KRÜ,https://www.vlr.gg/player/1294/nagz,Americas,183775,all,,1.0,217.0,28,32,11,0.88,69%,142.0,20%,6.0,4.0,bo3
keznit,KRÜ,https://www.vlr.gg/player/2462/keznit,Americas,183775,all,,0.89,202.0,31,31,5,1.0,62%,146.0,21%,4.0,6.0,bo3
Melser,KRÜ,https://www.vlr.gg/player/1311/melser,Americas,183775,all,,0.82,195.0,25,31,13,0.81,71%,121.0,27%,3.0,3.0,bo3
Klaus,KRÜ,https://www.vlr.gg/player/2610/klaus,Americas,183775,all,,0.64,125.0,20,34,18,0.59,64%,74.0,10%,3.0,4.0,bo3
Khalil,FUR,https://www.vlr.gg/player/1711/khalil,Americas,183775,all,,1.51,230.0,36,19,13,1.89,88%,146.0,37%,0.0,1.0,bo3
mwzera,FUR,https://www.vlr.gg/player/939/mwzera,Americas,183775,all,,1.08,231.0,34,30,11,1.13,74%,153.0,15%,4.0,6.0,bo3
mazin,FUR,https://www.vlr.gg/player/8872/mazin,Americas,183775,all,,1.08,180.0,27,25,20,1.08,74%,117.0,35%,3.0,5.0,bo3
ambitioN,FUR,https://www.vlr.gg/player/1575/ambition,Americas,183775,all,,1.05,209.0,31,28,11,1.11,76%,137.0,25%,4.0,2.0,bo3
dgzin,FUR,https://www.vlr.gg/player/8873/dgzin,Americas,183775,all,,1.02,217.0,30,29,7,1.03,67%,135.0,23%,9.0,8.0,bo3
aspas,LOUD,https://www.vlr.gg/player/8480/aspas,Americas,183776,all,,1.39,268.0,66,38,17,1.74,85%,167.0,23%,15.0,8.0,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,183776,all,,1.15,232.0,52,45,38,1.16,77%,142.0,17%,7.0,9.0,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,Americas,183776,all,,1.11,213.0,49,37,13,1.32,74%,147.0,20%,2.0,2.0,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,183776,all,,1.07,168.0,41,37,34,1.11,82%,118.0,23%,3.0,3.0,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,Americas,183776,all,,0.79,194.0,38,48,31,0.79,70%,110.0,20%,10.0,7.0,bo3
