Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
trexx,MKOI,https://www.vlr.gg/player/2168/trexx,EMEA,167348,all,,1.39,275.0,46,27,9,1.7,76%,181.0,32%,3.0,4.0,bo3
sheydos,MKOI,https://www.vlr.gg/player/1428/sheydos,EMEA,167348,all,,0.96,158.0,27,24,6,1.12,70%,107.0,24%,2.0,4.0,bo3
Wolfen,MKOI,https://www.vlr.gg/player/9558/wolfen,EMEA,167348,all,,0.71,187.0,28,38,7,0.74,61%,123.0,33%,10.0,13.0,bo3
starxo,MKOI,https://www.vlr.gg/player/565/starxo,EMEA,167348,all,,0.7,123.0,17,29,22,0.59,70%,79.0,18%,0.0,6.0,bo3
koldamenta,MKOI,https://www.vlr.gg/player/339/koldamenta,EMEA,167348,all,,0.64,110.0,17,34,19,0.5,63%,75.0,21%,1.0,3.0,bo3
crashies,NRG,https://www.vlr.gg/player/4/crashies,EMEA,167348,all,,1.21,220.0,36,27,17,1.33,74%,139.0,27%,5.0,4.0,bo3
s0m,NRG,https://www.vlr.gg/player/4164/s0m,Americas,167348,all,,1.21,227.0,36,26,12,1.38,83%,147.0,34%,4.0,4.0,bo3
FiNESSE,NRG,https://www.vlr.gg/player/817/finesse,Americas,167348,all,,1.1,173.0,24,24,18,1.0,83%,110.0,17%,5.0,0.0,bo3
ardiis,NRG,https://www.vlr.gg/player/98/ardiis,EMEA,167348,all,,1.03,190.0,27,28,12,0.96,76%,128.0,18%,10.0,4.0,bo3
Victor,NRG,https://www.vlr.gg/player/261/victor,Americas,167348,all,,0.92,172.0,29,30,10,0.97,70%,110.0,24%,6.0,4.0,bo3
takej,DFM,https://www.vlr.gg/player/1002/takej,Pacific,167349,all,,1.08,197.0,13,13,5,1.0,60%,120.0,42%,2.0,1.0,bo3
Reita,DFM,https://www.vlr.gg/player/1003/reita,Pacific,167349,all,,0.87,208.0,25,30,8,0.83,57%,137.0,44%,3.0,8.0,bo3
Anthem,DFM,https://www.vlr.gg/player/6700/anthem,Pacific,167349,all,,0.72,159.0,19,29,6,0.66,68%,109.0,32%,3.0,2.0,bo3
