Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,EMEA,220297,all,,1.14,202,30,31,17,0.97,68%,138,30%,4,3,bo3
MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,EMEA,220297,all,,0.93,180,29,31,12,0.94,64%,120,29%,6,2,bo3
MOJJ,FUT,https://www.vlr.gg/player/3604/mojj,EMEA,220297,all,,0.87,159,25,31,7,0.81,68%,105,21%,1,3,bo3
qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,EMEA,220297,all,,0.87,212,28,39,21,0.72,66%,143,33%,5,0,bo3
qw1,FUT,https://www.vlr.gg/player/10125/qw1,EMEA,220297,all,,0.65,164,26,35,4,0.74,55%,104,24%,8,12,bo3
Ethan,EG,https://www.vlr.gg/player/11225/ethan,Americas,220297,all,,1.37,222,34,24,24,1.42,80%,137,18%,1,3,bo3
Boostio,EG,https://www.vlr.gg/player/604/boostio,Americas,220297,all,,1.32,271,46,30,8,1.53,77%,199,26%,5,4,bo3
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,220297,all,,1.03,191,29,26,16,1.12,80%,110,16%,3,3,bo3
jawgemo,EG,https://www.vlr.gg/player/3993/jawgemo,Americas,220297,all,,0.96,196,28,29,8,0.97,70%,132,15%,4,5,bo3
Demon1,EG,https://www.vlr.gg/player/26171/demon1,Americas,220297,all,,0.93,193,30,29,6,1.03,66%,134,33%,7,9,bo3
Rb,KRX,https://www.vlr.gg/player/488/rb,CN,220296,all,,1.5,254,43,26,24,1.65,88%,148,23%,1,1,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,220296,all,,1.36,238,36,27,32,1.33,79%,156,19%,2,5,bo3
BuZz,KRX,https://www.vlr.gg/player/804/buzz,Pacific,220296,all,,1.3,236,34,25,15,1.36,77%,162,19%,4,5,bo3
stax,KRX,https://www.vlr.gg/player/485/stax,Pacific,220296,all,,1.01,167,27,29,24,0.93,79%,111,32%,1,4,bo3
Foxy9,KRX,https://www.vlr.gg/player/11600/foxy9,Pacific,220296,all,,0.84,224,30,37,10,0.81,74%,145,16%,8,12,bo3
YHchen,ASE,https://www.vlr.gg/player/10486/yhchen,CN,220296,all,,1.04,207,30,32,23,0.94,72%,137,16%,4,2,bo3
Life,ASE,https://www.vlr.gg/player/3028/life,EMEA,220296,all,,1.01,237,38,36,8,1.06,81%,152,20%,13,4,bo3
monk,ASE,https://www.vlr.gg/player/14431/monk,CN,220296,all,,0.91,191,27,32,14,0.84,74%,130,22%,2,1,bo3
zjc,ASE,https://www.vlr.gg/player/7135/zjc,CN,220296,all,,0.74,162,26,32,9,0.81,65%,110,24%,5,6,bo3
bunt,ASE,https://www.vlr.gg/player/25949/bunt,CN,220296,all,,0.69,162,23,38,19,0.61,70%,95,17%,3,3,bo3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,220292,all,,1.25,242,61,44,19,1.39,90%,160,32%,3,3,bo3
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,220292,all,,1.19,280,71,48,5,1.48,74%,161,18%,15,10,bo3
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,220292,all,,1.02,201,46,44,23,1.05,78%,145,24%,8,4,bo3
Haodong,EDG,https://www.vlr.gg/player/4720/haodong,CN,220292,all,,0.96,183,44,47,17,0.94,86%,120,30%,8,9,bo3
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,220292,all,,0.93,185,46,48,19,0.96,80%,123,22%,4,5,bo3
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,220292,all,,1.1,248,64,56,8,1.14,70%,161,25%,7,16,bo3
