Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Rb,TEC,https://www.vlr.gg/player/488/rb,CN,414847,all,,bo3,,204,26,33,14,,,,,,0.79
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,414847,all,,bo3,,203,25,33,6,,,,,,0.76
AC,TEC,https://www.vlr.gg/player/14445/ac,CN,414847,all,,bo3,,202,27,29,8,,,,,,0.93
Snail,TEC,https://www.vlr.gg/player/41053/snail,CN,414847,all,,bo3,,169,22,33,7,,,,,,0.67
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,414847,all,,bo3,,107,14,30,6,,,,,,0.47
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,414847,all,,bo3,,309,44,23,9,,,,,,1.91
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,CN,414847,all,,bo3,,243,32,24,5,,,,,,1.33
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,414847,all,,bo3,,229,34,16,11,,,,,,2.12
V1yA,WOL,https://www.vlr.gg/player/45104/v1ya,CN,414847,all,,bo3,,190,25,23,24,,,,,,1.09
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,CN,414847,all,,bo3,,160,23,28,19,,,,,,0.82
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,414848,all,,bo3,,239,47,40,9,,,,,,1.18
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,414848,all,,bo3,,206,39,46,8,,,,,,0.85
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,414848,all,,bo3,,190,35,45,20,,,,,,0.78
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,414848,all,,bo3,,122,18,43,30,,,,,,0.42
Cangshu,DRG,https://www.vlr.gg/player/46527/cangshu,CN,414848,all,,bo3,,110,18,45,32,,,,,,0.4
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,414848,all,,bo3,,286,55,36,10,,,,,,1.53
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,414848,all,,bo3,,263,56,34,10,,,,,,1.65
YOU,XLG,https://www.vlr.gg/player/4710/you,CN,414848,all,,bo3,,251,43,28,20,,,,,,1.54
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,414848,all,,bo3,,175,33,33,27,,,,,,1.0
MrCANI,XLG,https://www.vlr.gg/player/37674/mrcani,CN,414848,all,,bo3,,156,31,26,35,,,,,,1.19
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,414850,all,,bo3,,220,35,33,7,,,,,,1.06
