Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,Americas,312765,all,,1.62,300.0,47.0,28.0,20.0,1.68,73%,206.0,34%,6.0,5.0,bo3
MAGNUM,KC,https://www.vlr.gg/player/2173/magnum,EMEA,312765,all,,1.19,225.0,35.0,28.0,8.0,1.25,73%,160.0,24%,1.0,5.0,bo3
sh1n,KC,https://www.vlr.gg/player/2625/sh1n,EMEA,312765,all,,1.07,208.0,36.0,31.0,12.0,1.16,80%,133.0,41%,3.0,3.0,bo3
marteen,KC,https://www.vlr.gg/player/10307/marteen,EMEA,312765,all,,0.95,203.0,29.0,32.0,9.0,0.91,77%,132.0,19%,4.0,9.0,bo3
tomaszy,KC,https://www.vlr.gg/player/19691/tomaszy,EMEA,312765,all,,0.85,147.0,23.0,30.0,12.0,0.77,64%,109.0,42%,3.0,5.0,bo3
Life,FPX,https://www.vlr.gg/player/3028/life,EMEA,312765,all,,1.24,250.0,41.0,31.0,5.0,1.32,73%,169.0,37%,6.0,5.0,bo3
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,EMEA,312765,all,,0.94,198.0,30.0,35.0,17.0,0.86,73%,137.0,37%,1.0,1.0,bo3
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Pacific,312765,all,,0.85,214.0,30.0,38.0,9.0,0.79,70%,140.0,19%,9.0,1.0,bo3
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,EMEA,312765,all,,0.76,168.0,25.0,34.0,19.0,0.74,68%,107.0,30%,7.0,6.0,bo3
Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,CN,312765,all,,0.68,156.0,23.0,32.0,5.0,0.72,61%,115.0,32%,4.0,4.0,bo3
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,312766,all,,1.21,247.0,56.0,44.0,13.0,1.27,68%,158.0,23%,11.0,5.0,bo3
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,312766,all,,1.2,216.0,48.0,40.0,14.0,1.2,71%,151.0,32%,7.0,5.0,bo3
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Pacific,312766,all,,1.09,189.0,44.0,43.0,26.0,1.02,63%,118.0,25%,7.0,5.0,bo3
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,312766,all,,0.87,209.0,42.0,49.0,13.0,0.86,65%,137.0,24%,5.0,7.0,bo3
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,312766,all,,0.52,104.0,22.0,48.0,16.0,0.46,59%,73.0,25%,4.0,6.0,bo3
Less,LOUD,https://www.vlr.gg/player/8447/less,EMEA,312766,all,,1.35,243.0,57.0,38.0,16.0,1.5,83%,175.0,31%,7.0,4.0,bo3
tuyz,LOUD,https://www.vlr.gg/player/2408/tuyz,Americas,312766,all,,1.24,205.0,49.0,37.0,20.0,1.32,70%,132.0,35%,3.0,2.0,bo3
saadhak,LOUD,https://www.vlr.gg/player/727/saadhak,EMEA,312766,all,,0.9,178.0,36.0,43.0,27.0,0.84,75%,126.0,15%,5.0,10.0,bo3
ambitioN,LOUD,https://www.vlr.gg/player/1575/ambition,Americas,312766,all,,0.88,209.0,46.0,48.0,5.0,0.96,59%,134.0,34%,10.0,12.0,bo3
cauanzin,LOUD,https://www.vlr.gg/player/6193/cauanzin,Americas,312766,all,,0.75,156.0,36.0,47.0,18.0,0.77,76%,108.0,24%,4.0,7.0,bo3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,312767,all,,1.15,215.0,53.0,44.0,20.0,1.2,75%,148.0,32%,9.0,4.0,bo3
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,312767,all,,1.13,205.0,49.0,45.0,20.0,1.09,77%,139.0,30%,8.0,2.0,bo3
Haodong,EDG,https://www.vlr.gg/player/4720/haodong,CN,312767,all,,1.08,175.0,42.0,41.0,16.0,1.02,72%,117.0,26%,4.0,5.0,bo3
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,312767,all,,1.05,256.0,55.0,51.0,26.0,1.08,72%,168.0,21%,13.0,4.0,bo3
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,312767,all,,0.95,173.0,37.0,42.0,20.0,0.88,66%,120.0,34%,6.0,9.0,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,312767,all,,1.19,252.0,56.0,46.0,26.0,1.22,69%,151.0,32%,8.0,5.0,bo3
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Pacific,312767,all,,0.98,197.0,48.0,45.0,11.0,1.07,72%,130.0,41%,2.0,9.0,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,312767,all,,0.87,182.0,41.0,48.0,21.0,0.85,68%,128.0,33%,4.0,5.0,bo3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,312767,all,,0.86,175.0,38.0,46.0,12.0,0.83,66%,116.0,24%,6.0,10.0,bo3
Monyet,PRX,https://www.vlr.gg/player/8497/monyet,Pacific,312767,all,,0.73,175.0,39.0,52.0,16.0,0.75,68%,110.0,23%,5.0,12.0,bo3
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,312768,all,,1.25,290.0,64.0,50.0,13.0,1.28,75%,186.0,22%,17.0,11.0,bo3
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,312768,all,,1.05,184.0,44.0,43.0,24.0,1.02,70%,124.0,18%,4.0,5.0,bo3
TenZ,SEN,https://www.vlr.gg/player/9/tenz,Americas,312768,all,,0.98,194.0,49.0,50.0,28.0,0.98,73%,123.0,25%,6.0,5.0,bo3
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,312768,all,,0.92,169.0,32.0,43.0,19.0,0.74,66%,124.0,19%,2.0,5.0,bo3
Sacy,SEN,https://www.vlr.gg/player/659/sacy,Americas,312768,all,,0.87,171.0,35.0,48.0,27.0,0.73,69%,114.0,28%,1.0,8.0,bo3
MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,EMEA,312768,all,,1.24,270.0,65.0,46.0,17.0,1.41,78%,168.0,29%,11.0,7.0,bo3
