Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,348063,all,,bo1,,258,59,44,7,1.34,,160,23%,10,7
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,348063,all,,bo1,,190,44,44,13,1.0,,119,29%,3,6
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,348063,all,,bo1,,187,35,45,25,0.78,,126,29%,9,1
icy,G2,https://www.vlr.gg/player/8402/icy,Americas,348063,all,,bo1,,164,37,48,11,0.77,,107,30%,11,9
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,348063,all,,bo1,,156,36,46,23,0.78,,116,27%,2,3
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,348063,all,,bo1,,239,53,38,21,1.39,,159,30%,5,5
Rossy,T1,https://www.vlr.gg/player/1129/rossy,Americas,348063,all,,bo1,,219,44,38,17,1.16,,130,28%,3,6
xccurate,T1,https://www.vlr.gg/player/10816/xccurate,Pacific,348063,all,,bo1,,201,48,44,9,1.09,,128,41%,4,8
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,348063,all,,bo1,,199,44,41,9,1.07,,139,38%,5,8
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,348063,all,,bo1,,191,38,50,23,0.76,,122,31%,9,8
Life,FPX,https://www.vlr.gg/player/3028/life,EMEA,348061,all,,bo1,,254,61,55,13,1.11,,162,32%,13,16
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,EMEA,348061,all,,bo1,,229,59,46,13,1.28,,156,41%,12,4
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Pacific,348061,all,,bo1,,224,52,42,27,1.24,,144,40%,6,3
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,EMEA,348061,all,,bo1,,172,43,47,13,0.91,,115,34%,5,2
Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,CN,348061,all,,bo1,,144,34,42,12,0.81,,98,35%,3,5
cNed,FUT,https://www.vlr.gg/player/573/cned,EMEA,348061,all,,bo1,,219,54,49,14,1.1,,149,30%,9,7
MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,EMEA,348061,all,,bo1,,204,47,49,29,0.96,,135,22%,5,2
yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,EMEA,348061,all,,bo1,,190,47,48,16,0.98,,126,18%,5,11
AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,EMEA,348061,all,,bo1,,177,46,51,25,0.9,,100,29%,7,12
qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,EMEA,348061,all,,bo1,,158,37,52,28,0.71,,103,24%,4,7
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,348064,all,,bo1,,221,45,41,7,1.1,,135,26%,6,9
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,348064,all,,bo1,,215,46,36,13,1.28,,142,37%,2,5
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Pacific,348064,all,,bo1,,187,35,37,17,0.95,,133,21%,5,3
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,348064,all,,bo1,,183,38,39,15,0.97,,130,35%,7,7
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,348064,all,,bo1,,178,38,42,5,0.9,,119,21%,5,9
aspas,LEV,https://www.vlr.gg/player/8480/aspas,Americas,348064,all,,bo1,,250,54,40,7,1.35,,158,27%,16,8
tex,LEV,https://www.vlr.gg/player/1818/tex,Americas,348064,all,,bo1,,228,49,37,11,1.32,,153,38%,8,5
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,348064,all,,bo1,,195,38,43,17,0.88,,126,26%,3,6
Mazino,LEV,https://www.vlr.gg/player/7603/mazino,Americas,348064,all,,bo1,,148,29,42,23,0.69,,97,20%,4,3
C0M,LEV,https://www.vlr.gg/player/619/c0m,Americas,348064,all,,bo1,,119,25,40,15,0.62,,76,26%,2,3
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,EMEA,348059,all,,bo1,,325,41,20,7,2.05,,198,27%,17,5
paTiTek,TH,https://www.vlr.gg/player/309/patitek,EMEA,348059,all,,bo1,,242,30,23,22,1.3,,171,27%,2,2
RieNs,TH,https://www.vlr.gg/player/10971/riens,EMEA,348059,all,,bo1,,191,26,18,15,1.44,,132,26%,2,0
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,EMEA,348059,all,,bo1,,183,26,23,8,1.13,,125,23%,5,0
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,348059,all,,bo1,,167,26,15,15,1.73,,105,33%,2,1
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,348059,all,,bo1,,242,30,27,8,1.11,,165,36%,2,3
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,348059,all,,bo1,,206,22,30,13,0.73,,149,32%,0,2
nizhaoTZH,DRG,https://www.vlr.gg/player/4880/nizhaotzh,CN,348059,all,,bo1,,158,22,29,6,0.76,,100,34%,1,4
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,348059,all,,bo1,,136,13,33,7,0.39,,99,21%,4,10
Shion7,DRG,https://www.vlr.gg/player/41774/shion7,CN,348059,all,,bo1,,102,12,30,8,0.4,,72,22%,1,9
Life,FPX,https://www.vlr.gg/player/3028/life,EMEA,348458,all,,bo1,,223,57,60,17,0.95,,146,32%,12,17
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,EMEA,348458,all,,bo1,,218,53,54,32,0.98,,141,28%,7,7
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,EMEA,348458,all,,bo1,,209,58,52,12,1.12,,138,49%,7,2
Autumn,FPX,https://www.vlr.gg/player/872/autumn,Pacific,348458,all,,bo1,,171,45,54,19,0.83,,121,36%,3,7
Lysoar,FPX,https://www.vlr.gg/player/37489/lysoar,CN,348458,all,,bo1,,120,29,56,18,0.52,,92,33%,4,8
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,348458,all,,bo1,,254,66,55,12,1.2,,157,26%,20,13
Meteor,GEN,https://www.vlr.gg/player/13039/meteor,Pacific,348458,all,,bo1,,250,68,46,9,1.48,,157,29%,4,4
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,348458,all,,bo1,,211,57,50,30,1.14,,141,38%,9,7
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,348458,all,,bo1,,167,41,43,31,0.95,,116,28%,4,2
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Pacific,348458,all,,bo1,,166,43,49,26,0.88,,100,21%,4,7
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,348457,all,,bo1,,232,48,44,18,1.09,,164,21%,6,4
icy,G2,https://www.vlr.gg/player/8402/icy,Americas,348457,all,,bo1,,226,46,47,11,0.98,,141,17%,15,6
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,348457,all,,bo1,,205,49,43,19,1.14,,137,36%,4,6
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,348457,all,,bo1,,183,41,40,32,1.02,,118,24%,4,8
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,348457,all,,bo1,,121,24,48,21,0.5,,78,17%,3,6
RieNs,TH,https://www.vlr.gg/player/10971/riens,EMEA,348457,all,,bo1,,252,52,40,33,1.3,,168,32%,1,6
paTiTek,TH,https://www.vlr.gg/player/309/patitek,EMEA,348457,all,,bo1,,204,47,41,10,1.15,,141,30%,5,4
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,EMEA,348457,all,,bo1,,189,41,47,7,0.87,,123,28%,11,12
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,348457,all,,bo1,,182,41,41,25,1.0,,104,33%,4,3
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,EMEA,348457,all,,bo1,,182,41,39,11,1.05,,116,43%,9,7
aspas,LEV,https://www.vlr.gg/player/8480/aspas,Americas,348459,all,,bo1,,275,40,25,11,1.6,,180,23%,6,7
tex,LEV,https://www.vlr.gg/player/1818/tex,Americas,348459,all,,bo1,,235,35,25,14,1.4,,155,44%,1,3
Mazino,LEV,https://www.vlr.gg/player/7603/mazino,Americas,348459,all,,bo1,,226,36,27,17,1.33,,149,30%,4,2
kiNgg,LEV,https://www.vlr.gg/player/8549/kingg,Americas,348459,all,,bo1,,213,32,28,16,1.14,,141,24%,5,6
C0M,LEV,https://www.vlr.gg/player/619/c0m,Americas,348459,all,,bo1,,191,28,25,10,1.12,,124,24%,4,4
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,348459,all,,bo1,,241,36,39,7,0.92,,152,31%,9,5
Rossy,T1,https://www.vlr.gg/player/1129/rossy,Americas,348459,all,,bo1,,215,33,29,11,1.14,,132,35%,3,0
xccurate,T1,https://www.vlr.gg/player/10816/xccurate,Pacific,348459,all,,bo1,,150,21,34,10,0.62,,95,28%,5,4
Sayaplayer,T1,https://www.vlr.gg/player/4545/sayaplayer,Pacific,348459,all,,bo1,,136,20,36,8,0.56,,96,26%,2,6
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,348459,all,,bo1,,132,20,33,8,0.61,,93,29%,3,5
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,348460,all,,bo1,,268,42,41,8,1.02,,195,17%,11,7
nizhaoTZH,DRG,https://www.vlr.gg/player/4880/nizhaotzh,CN,348460,all,,bo1,,261,45,35,15,1.29,,171,36%,5,1
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,348460,all,,bo1,,241,41,33,13,1.24,,162,39%,5,5
Shion7,DRG,https://www.vlr.gg/player/41774/shion7,CN,348460,all,,bo1,,144,24,35,10,0.69,,110,19%,2,4
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,348460,all,,bo1,,125,20,36,16,0.56,,89,23%,3,6
cNed,FUT,https://www.vlr.gg/player/573/cned,EMEA,348460,all,,bo1,,259,46,34,12,1.35,,174,25%,10,8
qRaxs,FUT,https://www.vlr.gg/player/1139/qraxs,EMEA,348460,all,,bo1,,243,44,35,26,1.26,,164,43%,2,0
MrFaliN,FUT,https://www.vlr.gg/player/8044/mrfalin,EMEA,348460,all,,bo1,,213,38,35,16,1.09,,129,17%,5,7
yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,EMEA,348460,all,,bo1,,191,31,33,11,0.94,,122,24%,6,4
AtaKaptan,FUT,https://www.vlr.gg/player/6510/atakaptan,EMEA,348460,all,,bo1,,129,21,35,26,0.6,,85,20%,0,7
