Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,418804,all,,bo3,,216,28,32,6,,,,,,0.88
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,418804,all,,bo3,,179,24,28,6,,,,,,0.86
heybay,TE,https://www.vlr.gg/player/4712/heybay,Mixed,418804,all,,bo3,,179,22,30,12,,,,,,0.73
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,418804,all,,bo3,,141,19,29,14,,,,,,0.66
Biank,TE,https://www.vlr.gg/player/3021/biank,Mixed,418804,all,,bo3,,128,17,29,6,,,,,,0.59
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,418804,all,,bo3,,285,37,26,16,,,,,,1.42
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,418804,all,,bo3,,262,36,18,4,,,,,,2.0
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,418804,all,,bo3,,238,33,22,5,,,,,,1.5
Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,Mixed,418804,all,,bo3,,213,27,20,29,,,,,,1.35
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,418804,all,,bo3,,112,15,24,7,,,,,,0.62
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Mixed,418805,all,,bo3,,248,74,62,37,,,,,,1.19
mindfreak,PRX,https://www.vlr.gg/player/9800/mindfreak,Mixed,418805,all,,bo3,,227,74,57,46,,,,,,1.3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Mixed,418805,all,,bo3,,194,63,54,17,,,,,,1.17
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Mixed,418805,all,,bo3,,189,54,72,24,,,,,,0.75
something,PRX,https://www.vlr.gg/player/17086/something,Mixed,418805,all,,bo3,,167,53,60,16,,,,,,0.88
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418805,all,,bo3,,231,75,57,31,,,,,,1.32
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418805,all,,bo3,,220,65,71,17,,,,,,0.92
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418805,all,,bo3,,192,56,64,20,,,,,,0.88
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418805,all,,bo3,,189,58,61,22,,,,,,0.95
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418805,all,,bo3,,174,52,65,29,,,,,,0.8
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418806,all,,bo3,,267,38,24,6,,,,,,1.58
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418806,all,,bo3,,236,31,25,11,,,,,,1.24
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418806,all,,bo3,,208,30,18,11,,,,,,1.67
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418806,all,,bo3,,200,29,21,15,,,,,,1.38
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418806,all,,bo3,,199,27,23,20,,,,,,1.17
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,418806,all,,bo3,,204,24,33,18,,,,,,0.73
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,418806,all,,bo3,,174,25,27,8,,,,,,0.93
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,418806,all,,bo3,,166,23,37,8,,,,,,0.62
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,418806,all,,bo3,,162,25,30,12,,,,,,0.83
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,418806,all,,bo3,,110,14,28,6,,,,,,0.5
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,418807,all,,bo3,,309,69,45,25,,,,,,1.53
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,Mixed,418807,all,,bo3,,189,40,51,9,,,,,,0.78
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,418807,all,,bo3,,182,40,44,13,,,,,,0.91
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,418807,all,,bo3,,164,36,44,13,,,,,,0.82
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,Mixed,418807,all,,bo3,,162,35,43,23,,,,,,0.81
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,418807,all,,bo3,,256,56,44,22,,,,,,1.27
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,418807,all,,bo3,,243,54,43,6,,,,,,1.26
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,418807,all,,bo3,,201,41,45,14,,,,,,0.91
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Mixed,418807,all,,bo3,,187,41,42,22,,,,,,0.98
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,418807,all,,bo3,,172,35,46,22,,,,,,0.76
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Mixed,418808,all,,bo3,,241,60,50,10,,,,,,1.2
Karon,GEN,https://www.vlr.gg/player/34974/karon,Mixed,418808,all,,bo3,,199,48,42,22,,,,,,1.14
Munchkin,GEN,https://www.vlr.gg/player/2489/munchkin,Mixed,418808,all,,bo3,,194,41,39,44,,,,,,1.05
Foxy9,GEN,https://www.vlr.gg/player/11600/foxy9,Mixed,418808,all,,bo3,,160,36,48,16,,,,,,0.75
yoman,GEN,https://www.vlr.gg/player/25081/yoman,Mixed,418808,all,,bo3,,119,25,45,21,,,,,,0.56
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,418808,all,,bo3,,241,56,46,10,,,,,,1.22
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,418808,all,,bo3,,232,55,36,29,,,,,,1.53
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,Mixed,418808,all,,bo3,,181,45,40,15,,,,,,1.12
Athan,KRX,https://www.vlr.gg/player/34982/athan,Mixed,418808,all,,bo3,,170,36,42,39,,,,,,0.86
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,418808,all,,bo3,,138,32,46,12,,,,,,0.7
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,418809,all,,bo3,,222,53,43,14,,,,,,1.23
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,418809,all,,bo3,,218,52,39,9,,,,,,1.33
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,418809,all,,bo3,,206,44,51,15,,,,,,0.86
Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,Mixed,418809,all,,bo3,,170,38,38,34,,,,,,1.0
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,418809,all,,bo3,,134,30,34,17,,,,,,0.88
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,418809,all,,bo3,,235,55,43,13,,,,,,1.28
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,418809,all,,bo3,,205,48,43,8,,,,,,1.12
SSeeS,DFM,https://www.vlr.gg/player/21438/ssees,Mixed,418809,all,,bo3,,163,36,41,25,,,,,,0.88
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,418809,all,,bo3,,156,31,47,18,,,,,,0.66
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,418809,all,,bo3,,149,35,43,21,,,,,,0.81
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,418810,all,,bo3,,299,63,40,8,,,,,,1.57
Biank,TE,https://www.vlr.gg/player/3021/biank,Mixed,418810,all,,bo3,,204,35,41,27,,,,,,0.85
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,418810,all,,bo3,,186,43,37,7,,,,,,1.16
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,418810,all,,bo3,,153,31,32,26,,,,,,0.97
heybay,TE,https://www.vlr.gg/player/4712/heybay,Mixed,418810,all,,bo3,,134,24,38,35,,,,,,0.63
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,418810,all,,bo3,,300,63,38,12,,,,,,1.66
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,418810,all,,bo3,,199,38,39,34,,,,,,0.97
