Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Mixed,408415,all,,bo3,1.20,245,39,30,21,78%,146,25%,9,4,1.3
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Mixed,408415,all,,bo3,1.19,271,45,36,8,71%,164,21%,7,5,1.25
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Mixed,408415,all,,bo3,1.15,211,36,31,20,82%,139,37%,4,5,1.16
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Mixed,408415,all,,bo3,0.84,163,25,30,17,64%,113,32%,1,3,0.83
curry,SEN,https://www.vlr.gg/player/6584/curry,Mixed,408415,all,,bo3,0.60,120,16,35,28,80%,80,13%,1,6,0.46
v1c,C9,https://www.vlr.gg/player/17433/v1c,Mixed,408415,all,,bo3,1.15,224,35,32,16,67%,151,24%,2,2,1.09
Xeppaa,C9,https://www.vlr.gg/player/7871/xeppaa,Mixed,408415,all,,bo3,1.15,223,34,30,14,80%,150,21%,4,4,1.13
moose,C9,https://www.vlr.gg/player/7458/moose,Mixed,408415,all,,bo3,1.11,177,32,24,5,76%,105,15%,1,6,1.33
mitch,C9,https://www.vlr.gg/player/612/mitch,Mixed,408415,all,,bo3,0.88,168,26,34,23,76%,108,19%,5,4,0.76
OXY,C9,https://www.vlr.gg/player/18796/oxy,Mixed,408415,all,,bo3,0.84,232,35,42,10,71%,150,20%,11,6,0.83
Kushy,RRQ,https://www.vlr.gg/player/4866/kushy,Mixed,414230,all,,bo1,1.60,312,29,13,3,78%,170,37%,5,3,2.23
Estrella,RRQ,https://www.vlr.gg/player/25025/estrella,Mixed,414230,all,,bo1,1.49,216,19,10,15,87%,155,33%,1,1,1.9
Monyet,RRQ,https://www.vlr.gg/player/8497/monyet,Mixed,414230,all,,bo1,1.03,190,17,16,10,91%,131,28%,0,3,1.06
Jemkin,RRQ,https://www.vlr.gg/player/24895/jemkin,Mixed,414230,all,,bo1,0.92,210,16,17,6,70%,133,21%,5,2,0.94
xffero,RRQ,https://www.vlr.gg/player/4871/xffero,Mixed,414230,all,,bo1,0.67,154,13,17,4,74%,92,33%,2,1,0.76
Jinboong,DFM,https://www.vlr.gg/player/4052/jinboong,Mixed,414230,all,,bo1,0.99,213,17,20,4,65%,146,32%,4,4,0.85
Meiy,DFM,https://www.vlr.gg/player/6672/meiy,Mixed,414230,all,,bo1,0.92,229,18,19,4,70%,154,36%,5,4,0.95
Art,DFM,https://www.vlr.gg/player/10627/art,Mixed,414230,all,,bo1,0.81,178,13,19,7,65%,122,16%,1,3,0.68
Akame,DFM,https://www.vlr.gg/player/13002/akame,Mixed,414230,all,,bo1,0.79,192,17,21,6,61%,116,20%,0,0,0.81
gyen,DFM,https://www.vlr.gg/player/48577/gyen,Mixed,414230,all,,bo1,0.70,93,8,15,6,61%,60,29%,0,2,0.53
Crws,TLN,https://www.vlr.gg/player/3977/crws,Mixed,414231,all,,bo1,1.23,250,20,17,4,75%,177,27%,2,1,1.18
JitBoyS,TLN,https://www.vlr.gg/player/13788/jitboys,Mixed,414231,all,,bo1,1.20,218,19,14,9,79%,141,41%,1,1,1.36
ban,TLN,https://www.vlr.gg/player/5129/ban,Mixed,414231,all,,bo1,1.17,203,18,16,15,79%,131,66%,2,0,1.12
