Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,481653,all,,bo3,,229,52,41,11,,,,,,1.27
Xlele,TE,https://www.vlr.gg/player/54487/xlele,Mixed,481653,all,,bo3,,228,48,39,24,,,,,,1.23
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,481653,all,,bo3,,222,42,46,14,,,,,,0.91
Midi,TE,https://www.vlr.gg/player/37017/midi,Mixed,481653,all,,bo3,,206,47,43,15,,,,,,1.09
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,Mixed,481653,all,,bo3,,181,40,41,18,,,,,,0.98
TenTen,ZETA,https://www.vlr.gg/player/29839/tenten,Mixed,481653,all,,bo3,,264,56,46,11,,,,,,1.22
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Mixed,481653,all,,bo3,,203,45,45,23,,,,,,1.0
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Mixed,481653,all,,bo3,,191,40,49,25,,,,,,0.82
CLZ,ZETA,https://www.vlr.gg/player/2615/clz,Mixed,481653,all,,bo3,,180,35,41,21,,,,,,0.85
Dep,ZETA,https://www.vlr.gg/player/424/dep,Mixed,481653,all,,bo3,,164,34,48,16,,,,,,0.71
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,481654,all,,bo3,,211,25,35,15,,,,,,0.71
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,481654,all,,bo3,,208,30,34,7,,,,,,0.88
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,481654,all,,bo3,,185,30,29,13,,,,,,1.03
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,481654,all,,bo3,,158,21,30,13,,,,,,0.7
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,481654,all,,bo3,,129,18,32,13,,,,,,0.56
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Mixed,481654,all,,bo3,,276,36,29,13,,,,,,1.24
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Mixed,481654,all,,bo3,,224,31,27,11,,,,,,1.15
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Mixed,481654,all,,bo3,,223,35,21,6,,,,,,1.67
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Mixed,481654,all,,bo3,,217,31,22,21,,,,,,1.41
Estrella,KRX,https://www.vlr.gg/player/25025/estrella,Mixed,481654,all,,bo3,,200,27,25,24,,,,,,1.08
