Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
yosemite,FPX,https://www.vlr.gg/player/6022/yosemite,CN,485370,all,,bo3,,251,48,30,16,,,,,,1.6
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,485370,all,,bo3,,218,40,33,24,,,,,,1.21
Autumn,FPX,https://www.vlr.gg/player/872/autumn,CN,485370,all,,bo3,,205,39,33,13,,,,,,1.18
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,485370,all,,bo3,,201,39,30,12,,,,,,1.3
Life,FPX,https://www.vlr.gg/player/3028/life,CN,485370,all,,bo3,,199,38,32,9,,,,,,1.19
Spitfires,AG,https://www.vlr.gg/player/4881/spitfires,CN,485370,all,,bo3,,275,54,44,7,,,,,,1.23
deLb,AG,https://www.vlr.gg/player/10821/delb,CN,485370,all,,bo3,,164,34,38,10,,,,,,0.89
K1ra,AG,https://www.vlr.gg/player/46748/k1ra,CN,485370,all,,bo3,,158,28,40,12,,,,,,0.7
XiYiJi,AG,https://www.vlr.gg/player/37020/xiyiji,CN,485370,all,,bo3,,112,21,40,9,,,,,,0.53
player,AG,https://www.vlr.gg/player/46749/player,CN,485370,all,,bo3,,107,21,42,7,,,,,,0.5
SWERL,NOVA,https://www.vlr.gg/player/1209/swerl,CN,485371,all,,bo3,,241,44,41,17,,,,,,1.07
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,485371,all,,bo3,,239,44,36,23,,,,,,1.22
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,485371,all,,bo3,,225,47,36,9,,,,,,1.31
cb,NOVA,https://www.vlr.gg/player/39697/cb,CN,485371,all,,bo3,,198,38,37,19,,,,,,1.03
o0o0o,NOVA,https://www.vlr.gg/player/4402/o0o0o,CN,485371,all,,bo3,,165,34,36,20,,,,,,0.94
MarT1n,XLG,https://www.vlr.gg/player/36668/mart1n,CN,485371,all,,bo3,,308,61,39,14,,,,,,1.56
xRAN,XLG,https://www.vlr.gg/player/54492/xran,CN,485371,all,,bo3,,189,33,43,13,,,,,,0.77
Mentality,XLG,https://www.vlr.gg/player/54491/mentality,CN,485371,all,,bo3,,160,36,38,10,,,,,,0.95
hvoya,XLG,https://www.vlr.gg/player/1348/hvoya,CN,485371,all,,bo3,,159,32,42,13,,,,,,0.76
Arty,XLG,https://www.vlr.gg/player/4343/arty,CN,485371,all,,bo3,,125,24,45,20,,,,,,0.53
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,485372,all,,bo3,,278,36,14,11,,,,,,2.57
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,485372,all,,bo3,,273,32,18,12,,,,,,1.78
TvirusLuke,TEC,https://www.vlr.gg/player/7841/tvirusluke,CN,485372,all,,bo3,,254,33,20,8,,,,,,1.65
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,485372,all,,bo3,,231,25,16,26,,,,,,1.56
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,485372,all,,bo3,,185,20,17,19,,,,,,1.18
YuChEn,BLG,https://www.vlr.gg/player/4723/yuchen,CN,485372,all,,bo3,,215,20,28,5,,,,,,0.71
Rain,BLG,https://www.vlr.gg/player/53129/rain,CN,485372,all,,bo3,,166,17,29,4,,,,,,0.59
akite,BLG,https://www.vlr.gg/player/54489/akite,CN,485372,all,,bo3,,158,19,28,4,,,,,,0.68
XiaoJue,BLG,https://www.vlr.gg/player/54488/xiaojue,CN,485372,all,,bo3,,139,16,30,3,,,,,,0.53
DC,BLG,https://www.vlr.gg/player/34158/dc,CN,485372,all,,bo3,,130,13,31,7,,,,,,0.42
Babyblue,JDG,https://www.vlr.gg/player/15302/babyblue,CN,485373,all,,bo3,,237,35,32,10,,,,,,1.09
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,485373,all,,bo3,,212,29,33,16,,,,,,0.88
riya,JDG,https://www.vlr.gg/player/37421/riya,CN,485373,all,,bo3,,159,24,33,3,,,,,,0.73
Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,CN,485373,all,,bo3,,141,18,33,6,,,,,,0.55
Link7,JDG,https://www.vlr.gg/player/54490/link7,CN,485373,all,,bo3,,139,19,29,12,,,,,,0.66
zjc,TYL,https://www.vlr.gg/player/7135/zjc,CN,485373,all,,bo3,,267,38,24,9,,,,,,1.58
sword9,TYL,https://www.vlr.gg/player/3049/sword9,CN,485373,all,,bo3,,219,30,25,10,,,,,,1.2
