Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,582531,all,,bo3,,262,56,34,15,,,,,,1.65
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,582531,all,,bo3,,253,51,29,29,,,,,,1.76
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,582531,all,,bo3,,216,45,35,18,,,,,,1.29
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,582531,all,,bo3,,210,38,44,16,,,,,,0.86
heybay,NOVA,https://www.vlr.gg/player/4712/heybay,CN,582531,all,,bo3,,186,34,32,21,,,,,,1.06
Moonlight,EDG,https://www.vlr.gg/player/59797/moonlight,CN,582531,all,,bo3,,213,42,46,19,,,,,,0.91
YoungX,EDG,https://www.vlr.gg/player/59796/youngx,CN,582531,all,,bo3,,210,41,43,14,,,,,,0.95
ggd,EDG,https://www.vlr.gg/player/59798/ggd,CN,582531,all,,bo3,,184,34,43,10,,,,,,0.79
P1n,EDG,https://www.vlr.gg/player/34180/p1n,CN,582531,all,,bo3,,172,31,45,13,,,,,,0.69
AnJing,EDG,https://www.vlr.gg/player/56277/anjing,CN,582531,all,,bo3,,133,26,47,11,,,,,,0.55
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,582533,all,,bo3,,211,26,25,3,,,,,,1.04
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,582533,all,,bo3,,203,26,31,5,,,,,,0.84
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,582533,all,,bo3,,179,23,29,4,,,,,,0.79
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,582533,all,,bo3,,150,21,26,7,,,,,,0.81
Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,CN,582533,all,,bo3,,117,13,30,7,,,,,,0.43
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,582533,all,,bo3,,315,44,21,2,,,,,,2.1
deLb,TE,https://www.vlr.gg/player/10821/delb,CN,582533,all,,bo3,,253,37,23,10,,,,,,1.61
MarT1n,TE,https://www.vlr.gg/player/36668/mart1n,CN,582533,all,,bo3,,158,22,25,2,,,,,,0.88
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,582533,all,,bo3,,154,19,21,19,,,,,,0.9
Viva,TE,https://www.vlr.gg/player/36415/viva,CN,582533,all,,bo3,,143,19,19,12,,,,,,1.0
jowa,WOL,https://www.vlr.gg/player/19292/jowa,CN,582534,all,,bo3,,221,51,47,18,,,,,,1.09
yosemite,WOL,https://www.vlr.gg/player/6022/yosemite,CN,582534,all,,bo3,,188,41,51,16,,,,,,0.8
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,582534,all,,bo3,,188,44,47,15,,,,,,0.94
Satoshi,WOL,https://www.vlr.gg/player/46532/satoshi,CN,582534,all,,bo3,,168,38,51,13,,,,,,0.75
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,582534,all,,bo3,,162,41,43,9,,,,,,0.95
Setrod,FPX,https://www.vlr.gg/player/50025/setrod,CN,582534,all,,bo3,,245,58,43,15,,,,,,1.35
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,582534,all,,bo3,,226,55,41,14,,,,,,1.34
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,582534,all,,bo3,,211,48,44,14,,,,,,1.09
Life,FPX,https://www.vlr.gg/player/3028/life,CN,582534,all,,bo3,,210,48,47,5,,,,,,1.02
York,FPX,https://www.vlr.gg/player/6021/york,CN,582534,all,,bo3,,116,25,42,32,,,,,,0.6
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,582535,all,,bo3,,224,47,41,22,,,,,,1.15
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,582535,all,,bo3,,206,45,44,13,,,,,,1.02
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,582535,all,,bo3,,198,43,45,13,,,,,,0.96
heybay,NOVA,https://www.vlr.gg/player/4712/heybay,CN,582535,all,,bo3,,196,41,34,31,,,,,,1.21
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,582535,all,,bo3,,191,43,37,13,,,,,,1.16
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,582535,all,,bo3,,245,50,48,15,,,,,,1.04
kklin,JDG,https://www.vlr.gg/player/55828/kklin,CN,582535,all,,bo3,,213,46,43,11,,,,,,1.07
Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,CN,582535,all,,bo3,,185,37,39,15,,,,,,0.95
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,582535,all,,bo3,,179,39,45,28,,,,,,0.87
zhe,JDG,https://www.vlr.gg/player/49476/zhe,CN,582535,all,,bo3,,142,29,44,12,,,,,,0.66
deLb,TE,https://www.vlr.gg/player/10821/delb,CN,582536,all,,bo3,,203,38,45,12,,,,,,0.84
MarT1n,TE,https://www.vlr.gg/player/36668/mart1n,CN,582536,all,,bo3,,184,40,47,5,,,,,,0.85
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,582536,all,,bo3,,170,37,43,4,,,,,,0.86
Viva,TE,https://www.vlr.gg/player/36415/viva,CN,582536,all,,bo3,,142,28,41,5,,,,,,0.68
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,582536,all,,bo3,,120,26,41,18,,,,,,0.63
York,FPX,https://www.vlr.gg/player/6021/york,CN,582536,all,,bo3,,239,49,34,27,,,,,,1.44
Life,FPX,https://www.vlr.gg/player/3028/life,CN,582536,all,,bo3,,231,44,38,12,,,,,,1.16
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,CN,582536,all,,bo3,,231,47,32,20,,,,,,1.47
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,CN,582536,all,,bo3,,200,45,37,10,,,,,,1.22
Setrod,FPX,https://www.vlr.gg/player/50025/setrod,CN,582536,all,,bo3,,154,32,33,17,,,,,,0.97
zhe,JDG,https://www.vlr.gg/player/49476/zhe,CN,582538,all,,bo5,,241,94,66,20,,,,,,1.42
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,582538,all,,bo5,,229,87,74,15,,,,,,1.18
kklin,JDG,https://www.vlr.gg/player/55828/kklin,CN,582538,all,,bo5,,202,73,68,19,,,,,,1.07
Yuicaw,JDG,https://www.vlr.gg/player/11218/yuicaw,CN,582538,all,,bo5,,168,62,68,26,,,,,,0.91
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,582538,all,,bo5,,167,65,69,42,,,,,,0.94
deLb,TE,https://www.vlr.gg/player/10821/delb,CN,582538,all,,bo5,,239,96,82,12,,,,,,1.17
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,582538,all,,bo5,,205,79,78,17,,,,,,1.01
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,582538,all,,bo5,,166,64,70,33,,,,,,0.91
MarT1n,TE,https://www.vlr.gg/player/36668/mart1n,CN,582538,all,,bo5,,148,55,81,13,,,,,,0.68
Viva,TE,https://www.vlr.gg/player/36415/viva,CN,582538,all,,bo5,,142,51,75,27,,,,,,0.68
GuanG,NOVA,https://www.vlr.gg/player/41054/guang,CN,582537,all,,bo5,,240,61,51,5,,,,,,1.2
GREEN,NOVA,https://www.vlr.gg/player/34181/green,CN,582537,all,,bo5,,198,47,47,17,,,,,,1.0
Ezeir,NOVA,https://www.vlr.gg/player/46460/ezeir,CN,582537,all,,bo5,,176,39,50,16,,,,,,0.78
OBONE,NOVA,https://www.vlr.gg/player/36670/obone,CN,582537,all,,bo5,,173,41,53,29,,,,,,0.77
heybay,NOVA,https://www.vlr.gg/player/4712/heybay,CN,582537,all,,bo5,,131,33,50,13,,,,,,0.66
