Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
slowly,TYL,https://www.vlr.gg/player/41739/slowly,CN,430838,all,,bo1,,259,43,30,12,1.43,,,,,
Ninebody,TYL,https://www.vlr.gg/player/3547/ninebody,CN,430838,all,,bo1,,195,32,35,10,0.91,,,,,
zjc,TYL,https://www.vlr.gg/player/7135/zjc,CN,430838,all,,bo1,,176,28,35,16,0.8,,,,,
Eren,TYL,https://www.vlr.gg/player/14444/eren,CN,430838,all,,bo1,,164,29,37,9,0.78,,,,,
5CM,TYL,https://www.vlr.gg/player/47101/5cm,CN,430838,all,,bo1,,139,21,33,20,0.64,,,,,
Rb,TEC,https://www.vlr.gg/player/488/rb,CN,430838,all,,bo1,,246,40,30,11,1.33,,,,,
Dynamite,TEC,https://www.vlr.gg/player/42235/dynamite,CN,430838,all,,bo1,,245,43,31,5,1.39,,,,,
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,430838,all,,bo1,,206,32,28,29,1.14,,,,,
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,430838,all,,bo1,,184,32,34,4,0.94,,,,,
B1ack,TEC,https://www.vlr.gg/player/30526/b1ack,CN,430838,all,,bo1,,154,23,30,22,0.77,,,,,
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,430837,all,,bo1,,260,43,29,16,1.48,,,,,
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,430837,all,,bo1,,241,36,35,9,1.03,,,,,
coconut,XLG,https://www.vlr.gg/player/12365/coconut,CN,430837,all,,bo1,,204,34,25,16,1.36,,,,,
Viva,XLG,https://www.vlr.gg/player/36415/viva,CN,430837,all,,bo1,,203,34,27,18,1.26,,,,,
YOU,XLG,https://www.vlr.gg/player/4710/you,CN,430837,all,,bo1,,159,25,29,19,0.86,,,,,
Spring,WOL,https://www.vlr.gg/player/14125/spring,CN,430837,all,,bo1,,264,40,35,7,1.14,,,,,
Juicy,WOL,https://www.vlr.gg/player/7426/juicy,CN,430837,all,,bo1,,204,33,30,15,1.1,,,,,
Lysoar,WOL,https://www.vlr.gg/player/37489/lysoar,CN,430837,all,,bo1,,191,27,39,13,0.69,,,,,
SiuFatBB,WOL,https://www.vlr.gg/player/7849/siufatbb,CN,430837,all,,bo1,,145,23,35,19,0.66,,,,,
Yuicaw,WOL,https://www.vlr.gg/player/11218/yuicaw,CN,430837,all,,bo1,,138,22,33,12,0.67,,,,,
stew,JDG,https://www.vlr.gg/player/16924/stew,CN,430839,all,,bo1,,240,58,46,13,1.26,,,,,
Z1yan,JDG,https://www.vlr.gg/player/41029/z1yan,CN,430839,all,,bo1,,224,52,50,14,1.04,,,,,
jkuro,JDG,https://www.vlr.gg/player/3519/jkuro,CN,430839,all,,bo1,,204,43,54,20,0.8,,,,,
Babyblue,JDG,https://www.vlr.gg/player/15302/babyblue,CN,430839,all,,bo1,,174,40,49,15,0.82,,,,,
MrCANI,JDG,https://www.vlr.gg/player/37674/mrcani,CN,430839,all,,bo1,,110,26,50,16,0.52,,,,,
SpiritZ1,DRG,https://www.vlr.gg/player/31753/spiritz1,CN,430839,all,,bo1,,259,62,40,19,1.55,,,,,
TvirusLuke,DRG,https://www.vlr.gg/player/7841/tvirusluke,CN,430839,all,,bo1,,215,49,47,13,1.04,,,,,
vo0kashu,DRG,https://www.vlr.gg/player/3741/vo0kashu,CN,430839,all,,bo1,,212,50,43,11,1.16,,,,,
Nicc,DRG,https://www.vlr.gg/player/11524/nicc,CN,430839,all,,bo1,,192,43,41,42,1.05,,,,,
