Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,506930,all,,bo1,1.52,254,39,20,13,1.95,78%,156,32%,6,3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,506930,all,,bo1,1.19,196,27,23,20,1.17,80%,136,33%,3,2
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,506930,all,,bo1,1.16,258,37,29,12,1.28,78%,157,26%,6,8
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,506930,all,,bo1,1.03,196,29,26,13,1.12,78%,125,26%,2,3
zjc,EDG,https://www.vlr.gg/player/7135/zjc,CN,506930,all,,bo1,0.98,182,26,28,19,0.93,68%,115,40%,3,3
Haodong,TEC,https://www.vlr.gg/player/4720/haodong,CN,506930,all,,bo1,1.08,208,30,29,12,1.03,76%,140,43%,3,1
Abo,TEC,https://www.vlr.gg/player/5011/abo,CN,506930,all,,bo1,1.04,208,32,31,9,1.03,66%,141,43%,4,2
lucas,TEC,https://www.vlr.gg/player/19677/lucas,CN,506930,all,,bo1,0.77,160,23,31,7,0.74,63%,101,25%,4,7
Coco,TEC,https://www.vlr.gg/player/47629/coco,CN,506930,all,,bo1,0.74,152,19,32,11,0.59,68%,106,28%,3,2
TvirusLuke,TEC,https://www.vlr.gg/player/7841/tvirusluke,CN,506930,all,,bo1,0.56,163,22,35,7,0.63,61%,105,29%,5,10
rushia,BLG,https://www.vlr.gg/player/48878/rushia,CN,506931,all,,bo1,1.43,254,36,23,11,1.57,75%,165,37%,6,3
nephh,BLG,https://www.vlr.gg/player/10698/nephh,CN,506931,all,,bo1,1.33,208,31,23,19,1.35,83%,137,28%,5,3
Levius,BLG,https://www.vlr.gg/player/40845/levius,CN,506931,all,,bo1,1.20,216,29,22,17,1.32,73%,138,21%,1,1
