Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,448598,all,,1.43,266.0,54.0,35.0,15.0,1.54,74%,172.0,35%,3.0,4.0,bo3
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,448598,all,,1.09,265.0,48.0,43.0,11.0,1.12,72%,167.0,26%,14.0,7.0,bo3
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,448598,all,,0.94,195.0,36.0,39.0,11.0,0.92,74%,148.0,36%,5.0,8.0,bo3
S1Mon,EDG,https://www.vlr.gg/player/13768/s1mon,CN,448598,all,,0.88,161.0,30.0,34.0,18.0,0.88,64%,108.0,32%,2.0,2.0,bo3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,448598,all,,0.87,166.0,29.0,37.0,21.0,0.78,70%,97.0,33%,6.0,2.0,bo3
kamo,TL,https://www.vlr.gg/player/14681/kamo,EMEA,448598,all,,1.27,253.0,48.0,39.0,7.0,1.23,66%,170.0,27%,9.0,6.0,bo3
keiko,TL,https://www.vlr.gg/player/11494/keiko,Americas,448598,all,,1.08,206.0,41.0,40.0,12.0,1.02,74%,150.0,28%,3.0,4.0,bo3
nAts,TL,https://www.vlr.gg/player/457/nats,EMEA,448598,all,,0.98,190.0,38.0,38.0,11.0,1.0,68%,131.0,18%,4.0,10.0,bo3
kamyk,TL,https://www.vlr.gg/player/1475/kamyk,EMEA,448598,all,,0.88,173.0,31.0,38.0,21.0,0.82,74%,122.0,33%,4.0,4.0,bo3
paTiTek,TL,https://www.vlr.gg/player/309/patitek,EMEA,448598,all,,0.67,176.0,30.0,42.0,16.0,0.71,58%,106.0,25%,3.0,6.0,bo3
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,CN,448600,all,,1.38,203.0,34.0,19.0,7.0,1.79,85%,147.0,28%,2.0,2.0,bo3
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,448600,all,,1.31,202.0,27.0,19.0,20.0,1.42,87%,132.0,20%,1.0,2.0,bo3
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,448600,all,,1.3,256.0,35.0,23.0,12.0,1.52,85%,160.0,38%,6.0,2.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,448600,all,,0.96,164.0,20.0,22.0,21.0,0.91,77%,106.0,23%,4.0,5.0,bo3
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,448600,all,,0.92,208.0,31.0,30.0,4.0,1.03,69%,133.0,48%,9.0,6.0,bo3
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,448600,all,,0.97,186.0,29.0,29.0,13.0,1.0,64%,129.0,33%,4.0,5.0,bo3
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,448600,all,,0.86,161.0,20.0,28.0,19.0,0.71,72%,122.0,25%,4.0,1.0,bo3
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,448600,all,,0.78,160.0,24.0,32.0,8.0,0.75,79%,107.0,15%,3.0,5.0,bo3
zekken,SEN,https://www.vlr.gg/player/4004/zekken,Americas,448600,all,,0.77,176.0,23.0,29.0,3.0,0.79,69%,122.0,26%,5.0,7.0,bo3
Zellsis,SEN,https://www.vlr.gg/player/729/zellsis,Americas,448600,all,,0.67,138.0,17.0,29.0,11.0,0.59,62%,95.0,14%,1.0,4.0,bo3
trexx,VIT,https://www.vlr.gg/player/2168/trexx,EMEA,448599,all,,1.33,256.0,40.0,26.0,20.0,1.54,84%,156.0,18%,3.0,3.0,bo3
Less,VIT,https://www.vlr.gg/player/8447/less,EMEA,448599,all,,1.31,246.0,42.0,28.0,15.0,1.5,73%,153.0,36%,4.0,6.0,bo3
Derke,VIT,https://www.vlr.gg/player/5022/derke,EMEA,448599,all,,1.26,259.0,42.0,30.0,9.0,1.4,73%,157.0,19%,10.0,9.0,bo3
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,EMEA,448599,all,,1.14,195.0,32.0,26.0,19.0,1.23,80%,123.0,33%,1.0,4.0,bo3
Sayf,VIT,https://www.vlr.gg/player/312/sayf,EMEA,448599,all,,0.68,117.0,19.0,27.0,7.0,0.7,71%,85.0,26%,2.0,3.0,bo3
BuZz,T1,https://www.vlr.gg/player/804/buzz,Pacific,448599,all,,0.95,236.0,33.0,37.0,13.0,0.89,69%,152.0,13%,9.0,4.0,bo3
Meteor,T1,https://www.vlr.gg/player/13039/meteor,Pacific,448599,all,,0.94,206.0,32.0,38.0,10.0,0.84,67%,148.0,32%,6.0,7.0,bo3
iZu,T1,https://www.vlr.gg/player/29833/izu,Pacific,448599,all,,0.9,174.0,26.0,33.0,8.0,0.79,67%,115.0,29%,2.0,3.0,bo3
stax,T1,https://www.vlr.gg/player/485/stax,Pacific,448599,all,,0.88,153.0,26.0,32.0,11.0,0.81,64%,99.0,37%,4.0,0.0,bo3
carpe,T1,https://www.vlr.gg/player/31207/carpe,Pacific,448599,all,,0.63,141.0,20.0,35.0,17.0,0.57,67%,92.0,27%,4.0,6.0,bo3
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,448597,all,,1.52,247.0,35.0,17.0,12.0,2.06,76%,177.0,31%,4.0,5.0,bo3
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,448597,all,,1.45,249.0,37.0,17.0,4.0,2.18,86%,174.0,29%,3.0,1.0,bo3
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,448597,all,,1.18,179.0,23.0,18.0,17.0,1.28,81%,105.0,16%,6.0,3.0,bo3
JonahP,G2,https://www.vlr.gg/player/4581/jonahp,Americas,448597,all,,1.09,177.0,21.0,22.0,28.0,0.95,81%,116.0,13%,0.0,1.0,bo3
jawgemo,G2,https://www.vlr.gg/player/3993/jawgemo,Americas,448597,all,,0.97,203.0,26.0,26.0,9.0,1.0,70%,135.0,21%,7.0,7.0,bo3
Biank,TE,https://www.vlr.gg/player/3021/biank,CN,448597,all,,0.86,158.0,20.0,26.0,6.0,0.77,65%,112.0,13%,4.0,2.0,bo3
LuoK1ng,TE,https://www.vlr.gg/player/3045/luok1ng,CN,448597,all,,0.82,170.0,22.0,28.0,11.0,0.79,68%,118.0,38%,1.0,2.0,bo3
heybay,TE,https://www.vlr.gg/player/4712/heybay,CN,448597,all,,0.75,134.0,16.0,28.0,13.0,0.57,65%,93.0,21%,4.0,5.0,bo3
FengF,TE,https://www.vlr.gg/player/4770/fengf,CN,448597,all,,0.66,173.0,20.0,31.0,4.0,0.65,54%,122.0,22%,4.0,7.0,bo3
Kai,TE,https://www.vlr.gg/player/37494/kai,CN,448597,all,,0.65,161.0,22.0,33.0,5.0,0.67,57%,108.0,30%,4.0,4.0,bo3
HYUNMIN,KRX,https://www.vlr.gg/player/28400/hyunmin,Pacific,449000,all,,1.07,252.0,59.0,55.0,15.0,1.07,74%,160.0,30%,12.0,10.0,bo3
free1ng,KRX,https://www.vlr.gg/player/1916/free1ng,Pacific,449000,all,,1.04,207.0,49.0,47.0,20.0,1.04,75%,142.0,29%,6.0,7.0,bo3
BeYN,KRX,https://www.vlr.gg/player/4678/beyn,Pacific,449000,all,,1.02,176.0,43.0,46.0,28.0,0.93,77%,113.0,29%,7.0,2.0,bo3
MaKo,KRX,https://www.vlr.gg/player/4462/mako,Pacific,449000,all,,0.98,195.0,47.0,50.0,33.0,0.94,75%,138.0,26%,4.0,7.0,bo3
Flashback,KRX,https://www.vlr.gg/player/35013/flashback,CN,449000,all,,0.84,171.0,42.0,52.0,11.0,0.81,65%,120.0,29%,8.0,6.0,bo3
Derke,VIT,https://www.vlr.gg/player/5022/derke,EMEA,449000,all,,1.45,315.0,78.0,54.0,10.0,1.44,75%,205.0,23%,19.0,11.0,bo3
trexx,VIT,https://www.vlr.gg/player/2168/trexx,EMEA,449000,all,,1.08,199.0,43.0,45.0,34.0,0.96,74%,135.0,20%,4.0,4.0,bo3
Kicks,VIT,https://www.vlr.gg/player/11134/kicks,EMEA,449000,all,,1.01,185.0,46.0,45.0,22.0,1.02,71%,119.0,25%,2.0,3.0,bo3
Less,VIT,https://www.vlr.gg/player/8447/less,EMEA,449000,all,,0.97,193.0,50.0,49.0,20.0,1.02,68%,130.0,26%,2.0,9.0,bo3
Sayf,VIT,https://www.vlr.gg/player/312/sayf,EMEA,449000,all,,0.74,143.0,33.0,47.0,24.0,0.7,67%,91.0,17%,5.0,10.0,bo3
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,449001,all,,1.3,235.0,63.0,42.0,18.0,1.5,71%,157.0,21%,6.0,6.0,bo3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,449001,all,,1.22,211.0,53.0,45.0,42.0,1.18,78%,141.0,25%,9.0,0.0,bo3
