Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Wo0t,TH,https://www.vlr.gg/player/21328/wo0t,EMEA,490309,all,,0.93,179.0,23,27,13,0.85,64%,113.0,50%,2.0,4.0,bo3
benjyfishy,TH,https://www.vlr.gg/player/29873/benjyfishy,EMEA,490309,all,,0.93,187.0,24,29,3,0.83,61%,130.0,34%,7.0,3.0,bo3
RieNs,TH,https://www.vlr.gg/player/10971/riens,EMEA,490309,all,,0.67,176.0,20,30,6,0.67,56%,111.0,33%,2.0,5.0,bo3
Boo,TH,https://www.vlr.gg/player/1144/boo,EMEA,490309,all,,0.47,106.0,12,29,14,0.41,56%,68.0,33%,0.0,5.0,bo3
MiniBoo,TH,https://www.vlr.gg/player/18350/miniboo,EMEA,490309,all,,0.43,119.0,16,31,4,0.52,47%,82.0,44%,2.0,6.0,bo3
Jinggg,PRX,https://www.vlr.gg/player/7378/jinggg,Pacific,490309,all,,1.45,251.0,32,19,20,1.68,92%,153.0,23%,10.0,1.0,bo3
f0rsakeN,PRX,https://www.vlr.gg/player/9801/f0rsaken,Pacific,490309,all,,1.42,243.0,30,17,15,1.76,83%,141.0,35%,5.0,2.0,bo3
PatMen,PRX,https://www.vlr.gg/player/13744/patmen,Pacific,490309,all,,1.22,213.0,30,18,9,1.67,81%,140.0,32%,2.0,5.0,bo3
d4v41,PRX,https://www.vlr.gg/player/9803/d4v41,Pacific,490309,all,,1.17,187.0,27,21,4,1.29,81%,148.0,29%,0.0,1.0,bo3
something,PRX,https://www.vlr.gg/player/17086/something,Pacific,490309,all,,1.1,205.0,27,20,8,1.35,78%,139.0,19%,6.0,4.0,bo3
rushia,BLG,https://www.vlr.gg/player/48878/rushia,CN,490307,all,,1.22,232.0,58,49,33,1.18,78%,151.0,29%,11.0,4.0,bo3
whzy,BLG,https://www.vlr.gg/player/4885/whzy,CN,490307,all,,1.16,248.0,69,54,15,1.28,70%,158.0,31%,15.0,15.0,bo3
nephh,BLG,https://www.vlr.gg/player/10698/nephh,CN,490307,all,,1.05,203.0,50,50,39,1.0,78%,134.0,21%,5.0,6.0,bo3
Knight,BLG,https://www.vlr.gg/player/4774/knight,CN,490307,all,,1.03,161.0,42,42,19,1.0,74%,117.0,27%,5.0,3.0,bo3
Levius,BLG,https://www.vlr.gg/player/40845/levius,CN,490307,all,,0.93,179.0,50,50,15,1.0,75%,127.0,25%,4.0,8.0,bo3
penny,TL,https://www.vlr.gg/player/7716/penny,Americas,490307,all,,1.03,183.0,49,51,26,0.96,71%,134.0,24%,7.0,8.0,bo3
keiko,TL,https://www.vlr.gg/player/11494/keiko,Americas,490307,all,,1.02,183.0,55,50,14,1.1,72%,128.0,46%,7.0,8.0,bo3
kamo,TL,https://www.vlr.gg/player/14681/kamo,EMEA,490307,all,,0.91,207.0,55,60,22,0.92,67%,138.0,37%,10.0,14.0,bo3
Serial,TL,https://www.vlr.gg/player/18162/serial,EMEA,490307,all,,0.84,174.0,47,56,13,0.84,59%,120.0,51%,9.0,4.0,bo3
paTiTek,TL,https://www.vlr.gg/player/309/patitek,EMEA,490307,all,,0.79,167.0,38,52,14,0.73,68%,102.0,18%,3.0,6.0,bo3
N4RRATE,SEN,https://www.vlr.gg/player/36245/n4rrate,Americas,490308,all,,1.29,229.0,37,26,19,1.42,76%,135.0,27%,2.0,2.0,bo3
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,490308,all,,1.27,199.0,33,24,18,1.38,78%,124.0,26%,1.0,4.0,bo3
bang,SEN,https://www.vlr.gg/player/3880/bang,Americas,490308,all,,1.07,201.0,33,33,17,1.0,73%,123.0,34%,4.0,1.0,bo3
