Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
Life,FPX,https://www.vlr.gg/player/3028/life,Mixed,589960,all,,bo3,,217,59,61,6,,,,,,0.97
sScary,FPX,https://www.vlr.gg/player/4382/sscary,Mixed,589960,all,,bo3,,205,54,55,25,,,,,,0.98
BerLIN,FPX,https://www.vlr.gg/player/7857/berlin,Mixed,589960,all,,bo3,,197,52,55,18,,,,,,0.95
AAAAY,FPX,https://www.vlr.gg/player/19530/aaaay,Mixed,589960,all,,bo3,,191,49,55,20,,,,,,0.89
Setrod,FPX,https://www.vlr.gg/player/50025/setrod,Mixed,589960,all,,bo3,,177,39,58,23,,,,,,0.67
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,589960,all,,bo3,,287,73,52,18,,,,,,1.4
deLb,TE,https://www.vlr.gg/player/10821/delb,Mixed,589960,all,,bo3,,243,65,59,10,,,,,,1.1
Viva,TE,https://www.vlr.gg/player/36415/viva,Mixed,589960,all,,bo3,,204,55,48,25,,,,,,1.15
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,589960,all,,bo3,,189,52,50,24,,,,,,1.04
Xlele,TE,https://www.vlr.gg/player/54487/xlele,Mixed,589960,all,,bo3,,160,39,48,39,,,,,,0.81
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,589961,all,,bo3,,264,40,17,13,,,,,,2.35
cb,EDG,https://www.vlr.gg/player/39697/cb,Mixed,589961,all,,bo3,,264,37,22,10,,,,,,1.68
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,589961,all,,bo3,,235,30,21,16,,,,,,1.43
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,589961,all,,bo3,,197,28,20,8,,,,,,1.4
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,Mixed,589961,all,,bo3,,187,24,23,8,,,,,,1.04
whzy,BLG,https://www.vlr.gg/player/4885/whzy,Mixed,589961,all,,bo3,,225,29,31,4,,,,,,0.94
Knight,BLG,https://www.vlr.gg/player/4774/knight,Mixed,589961,all,,bo3,,173,22,32,7,,,,,,0.69
rushia,BLG,https://www.vlr.gg/player/48878/rushia,Mixed,589961,all,,bo3,,151,18,34,8,,,,,,0.53
Levius,BLG,https://www.vlr.gg/player/40845/levius,Mixed,589961,all,,bo3,,140,18,30,5,,,,,,0.6
nephh,BLG,https://www.vlr.gg/player/10698/nephh,Mixed,589961,all,,bo3,,129,16,32,11,,,,,,0.5
deLb,TE,https://www.vlr.gg/player/10821/delb,Mixed,589962,all,,bo5,,219,46,44,15,,,,,,1.05
Kai,TE,https://www.vlr.gg/player/37494/kai,Mixed,589962,all,,bo5,,171,38,50,13,,,,,,0.76
FengF,TE,https://www.vlr.gg/player/4770/fengf,Mixed,589962,all,,bo5,,150,34,47,16,,,,,,0.72
Viva,TE,https://www.vlr.gg/player/36415/viva,Mixed,589962,all,,bo5,,124,22,44,11,,,,,,0.5
Xlele,TE,https://www.vlr.gg/player/54487/xlele,Mixed,589962,all,,bo5,,114,31,51,20,,,,,,0.61
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,Mixed,589962,all,,bo5,,280,56,34,21,,,,,,1.65
cb,EDG,https://www.vlr.gg/player/39697/cb,Mixed,589962,all,,bo5,,260,48,31,14,,,,,,1.55
Jieni7,EDG,https://www.vlr.gg/player/51244/jieni7,Mixed,589962,all,,bo5,,220,50,36,14,,,,,,1.39
nobody,EDG,https://www.vlr.gg/player/3017/nobody,Mixed,589962,all,,bo5,,210,43,33,19,,,,,,1.3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,Mixed,589962,all,,bo5,,191,39,37,33,,,,,,1.05
