Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
cortezia,SEN,https://www.vlr.gg/player/5395/cortezia,Americas,674838,all,,bo3,1.09,203,42,37,14,65%,143,28%,7,5,1.14
JonahP,SEN,https://www.vlr.gg/player/4581/jonahp,Americas,674838,all,,bo3,1.02,184,43,42,20,72%,117,21%,3,5,1.02
Reduxx,SEN,https://www.vlr.gg/player/8419/reduxx,Americas,674838,all,,bo3,0.96,206,46,46,10,73%,128,13%,10,5,1.0
Jerrwin,SEN,https://www.vlr.gg/player/34057/jerrwin,Americas,674838,all,,bo3,0.95,226,44,49,17,70%,154,23%,11,11,0.9
johnqt,SEN,https://www.vlr.gg/player/1265/johnqt,Americas,674838,all,,bo3,0.87,149,32,42,21,67%,101,24%,1,2,0.76
dgzin,EG,https://www.vlr.gg/player/8873/dgzin,Americas,674838,all,,bo3,1.26,290,58,45,17,80%,173,24%,14,9,1.29
zerona,EG,https://www.vlr.gg/player/14048/zerona,Americas,674838,all,,bo3,1.09,221,53,43,15,65%,151,18%,6,12,1.23
Paincakes,EG,https://www.vlr.gg/player/2164/paincakes,Americas,674838,all,,bo3,1.00,192,41,38,23,80%,118,27%,0,6,1.08
bao,EG,https://www.vlr.gg/player/34400/bao,Americas,674838,all,,bo3,0.84,153,34,42,19,73%,95,35%,2,2,0.81
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,674838,all,,bo3,0.81,141,30,39,21,68%,95,29%,6,3,0.77
Zellsis,C9,https://www.vlr.gg/player/729/zellsis,Americas,674839,all,,bo3,1.16,207,53,48,29,77%,138,20%,3,8,1.1
OXY,C9,https://www.vlr.gg/player/18796/oxy,Americas,674839,all,,bo3,1.06,247,56,55,11,75%,161,36%,11,11,1.02
Jackk,C9,https://www.vlr.gg/player/44842/jackk,Americas,674839,all,,bo3,1.05,193,44,46,26,74%,133,34%,4,6,0.96
Notexxd,C9,https://www.vlr.gg/player/39021/notexxd,Americas,674839,all,,bo3,0.89,210,50,58,21,75%,147,29%,5,11,0.86
Veer,C9,https://www.vlr.gg/player/3877/veer,Americas,674839,all,,bo3,0.79,151,34,51,23,62%,93,17%,5,5,0.67
nightz,ENVY,https://www.vlr.gg/player/41798/nightz,Americas,674839,all,,bo3,1.12,225,58,46,20,68%,154,44%,9,7,1.26
Demon1,ENVY,https://www.vlr.gg/player/26171/demon1,Americas,674839,all,,bo3,1.12,237,58,51,15,70%,153,33%,11,4,1.14
