Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673538,all,,bo3,1.35,237,65,43,19,80%,149,38%,8,9,1.51
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673538,all,,bo3,1.15,227,61,47,25,85%,150,30%,5,6,1.3
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673538,all,,bo3,0.93,148,37,45,24,65%,102,19%,3,4,0.82
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673538,all,,bo3,0.83,151,42,49,9,67%,98,37%,3,10,0.86
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673538,all,,bo3,0.80,200,51,58,10,67%,122,15%,16,11,0.88
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673538,all,,bo3,1.24,241,64,50,11,72%,155,16%,17,8,1.28
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673538,all,,bo3,0.96,209,56,57,12,68%,136,42%,8,6,0.98
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673538,all,,bo3,0.92,193,50,52,16,68%,129,28%,9,13,0.96
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673538,all,,bo3,0.92,165,43,49,14,72%,124,30%,3,3,0.88
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673538,all,,bo3,0.75,122,29,48,27,69%,76,29%,3,5,0.6
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673539,all,,bo3,1.53,261,37,16,5,89%,165,29%,4,1,2.31
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673539,all,,bo3,1.37,276,39,24,9,81%,176,27%,10,4,1.62
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673539,all,,bo3,1.21,192,25,20,18,81%,121,19%,2,2,1.25
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673539,all,,bo3,1.09,203,28,20,8,73%,131,20%,2,3,1.4
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673539,all,,bo3,1.04,202,26,22,15,81%,141,27%,5,4,1.18
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673539,all,,bo3,0.86,156,20,29,11,57%,108,27%,3,3,0.69
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673539,all,,bo3,0.84,176,23,30,4,57%,106,27%,5,7,0.77
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673539,all,,bo3,0.76,181,23,32,8,59%,137,28%,3,3,0.72
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673539,all,,bo3,0.75,186,23,32,4,59%,127,45%,2,4,0.72
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673539,all,,bo3,0.52,108,13,32,14,51%,78,23%,1,6,0.41
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,673540,all,,bo3,1.62,280,36,15,14,82%,179,27%,0,0,2.4
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,673540,all,,bo3,1.39,310,36,26,10,88%,188,11%,13,6,1.38
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,673540,all,,bo3,1.34,257,32,21,13,82%,175,38%,4,3,1.52
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,673540,all,,bo3,1.32,175,21,12,13,85%,114,18%,1,0,1.75
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,673540,all,,bo3,0.82,149,19,17,7,70%,94,40%,3,3,1.12
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673540,all,,bo3,0.85,203,24,29,2,48%,135,30%,4,5,0.83
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673540,all,,bo3,0.69,174,19,28,5,52%,106,25%,3,5,0.68
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673540,all,,bo3,0.62,161,14,30,11,64%,126,20%,2,4,0.47
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673540,all,,bo3,0.62,152,16,30,5,48%,108,30%,2,2,0.53
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673540,all,,bo3,0.55,141,18,27,2,58%,86,17%,1,5,0.67
seven,PCF,https://www.vlr.gg/player/8376/seven,EMEA,673541,all,,bo3,1.25,270,60,46,11,78%,183,27%,14,12,1.3
al0rante,PCF,https://www.vlr.gg/player/5292/al0rante,EMEA,673541,all,,bo3,1.06,214,52,43,8,66%,142,48%,4,3,1.21
cNed,PCF,https://www.vlr.gg/player/573/cned,EMEA,673541,all,,bo3,0.94,185,41,46,10,59%,132,29%,6,12,0.89
NINJA,PCF,https://www.vlr.gg/player/28948/ninja,EMEA,673541,all,,bo3,0.84,164,36,43,15,64%,116,30%,2,2,0.84
qpert,PCF,https://www.vlr.gg/player/7105/qpert,EMEA,673541,all,,bo3,0.48,93,18,47,26,67%,61,28%,3,6,0.38
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673541,all,,bo3,1.18,208,48,39,25,81%,127,34%,4,7,1.23
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673541,all,,bo3,1.09,217,50,41,9,80%,137,29%,8,6,1.22
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673541,all,,bo3,1.06,216,46,43,18,66%,145,37%,7,5,1.07
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673541,all,,bo3,1.05,196,44,41,27,83%,129,26%,6,6,1.07
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673541,all,,bo3,0.86,157,37,43,9,63%,110,47%,10,5,0.86
LewN,KC,https://www.vlr.gg/player/20144/lewn,EMEA,673542,all,,bo3,1.81,386,48,20,9,88%,230,32%,12,3,2.4
N4RRATE,KC,https://www.vlr.gg/player/36245/n4rrate,EMEA,673542,all,,bo3,1.37,212,25,14,15,82%,149,33%,5,0,1.79
Avez,KC,https://www.vlr.gg/player/5654/avez,EMEA,673542,all,,bo3,1.33,214,25,15,17,79%,148,34%,3,3,1.67
SUYGETSU,KC,https://www.vlr.gg/player/2858/suygetsu,EMEA,673542,all,,bo3,1.19,208,24,17,16,88%,153,36%,3,2,1.41
dos9,KC,https://www.vlr.gg/player/16215/dos9,EMEA,673542,all,,bo3,1.00,127,19,14,8,76%,86,26%,1,2,1.36
westside,GX,https://www.vlr.gg/player/34684/westside,EMEA,673542,all,,bo3,0.91,184,21,26,4,62%,121,35%,2,0,0.81
Cloud,GX,https://www.vlr.gg/player/4181/cloud,EMEA,673542,all,,bo3,0.64,135,16,28,6,53%,95,21%,1,4,0.57
grubinho,GX,https://www.vlr.gg/player/5550/grubinho,EMEA,673542,all,,bo3,0.63,138,14,28,11,59%,87,18%,0,4,0.5
ara,GX,https://www.vlr.gg/player/11332/ara,EMEA,673542,all,,bo3,0.57,158,18,31,3,62%,108,28%,5,9,0.58
Flickless,GX,https://www.vlr.gg/player/6959/flickless,EMEA,673542,all,,bo3,0.51,120,11,28,5,56%,80,29%,2,7,0.39
yetujey,FUT,https://www.vlr.gg/player/8369/yetujey,EMEA,674854,all,,bo3,1.30,260,44,28,8,77%,169,24%,4,5,1.57
sociablEE,FUT,https://www.vlr.gg/player/5568/sociablee,EMEA,674854,all,,bo3,1.25,227,38,27,16,66%,136,32%,5,3,1.41
s0pp,FUT,https://www.vlr.gg/player/39357/s0pp,EMEA,674854,all,,bo3,1.01,227,33,31,11,75%,142,20%,9,4,1.06
KROSTALY,FUT,https://www.vlr.gg/player/15735/krostaly,EMEA,674854,all,,bo3,0.97,169,29,25,9,82%,94,24%,2,2,1.16
xeus,FUT,https://www.vlr.gg/player/12793/xeus,EMEA,674854,all,,bo3,0.92,211,32,34,6,77%,137,34%,4,6,0.94
Ruxic,NAVI,https://www.vlr.gg/player/18677/ruxic,EMEA,674854,all,,bo3,1.15,208,35,31,15,68%,129,21%,4,2,1.13
Filu,NAVI,https://www.vlr.gg/player/4544/filu,EMEA,674854,all,,bo3,0.91,216,33,37,10,68%,144,28%,2,3,0.89
hiro,NAVI,https://www.vlr.gg/player/29867/hiro,EMEA,674854,all,,bo3,0.90,199,29,34,7,61%,130,28%,1,1,0.85
chloric,NAVI,https://www.vlr.gg/player/15639/chloric,EMEA,674854,all,,bo3,0.76,159,25,33,11,64%,107,28%,3,5,0.76
ExiT,NAVI,https://www.vlr.gg/player/11917/exit,EMEA,674854,all,,bo3,0.52,165,23,41,12,73%,96,20%,10,13,0.56
kamo,TL,https://www.vlr.gg/player/14681/kamo,EMEA,674855,all,,bo3,1.29,265,40,31,11,75%,169,33%,12,4,1.29
MiniBoo,TL,https://www.vlr.gg/player/18350/miniboo,EMEA,674855,all,,bo3,1.23,229,36,28,5,84%,139,28%,9,3,1.29
purp0,TL,https://www.vlr.gg/player/1885/purp0,EMEA,674855,all,,bo3,0.90,163,27,28,3,64%,109,33%,1,2,0.96
wayne,TL,https://www.vlr.gg/player/24628/wayne,EMEA,674855,all,,bo3,0.72,138,19,33,20,66%,93,30%,1,2,0.58
GSR,TL,https://www.vlr.gg/player/50813/gsr,EMEA,674855,all,,bo3,0.44,102,13,33,14,59%,70,23%,3,7,0.39
marteen,M8,https://www.vlr.gg/player/10307/marteen,EMEA,674855,all,,bo3,1.41,237,39,23,9,82%,173,25%,0,1,1.7
bipo,M8,https://www.vlr.gg/player/18400/bipo,EMEA,674855,all,,bo3,1.33,247,40,26,7,70%,155,38%,2,0,1.54
Minny,M8,https://www.vlr.gg/player/23169/minny,EMEA,674855,all,,bo3,0.92,206,33,30,4,64%,128,33%,11,16,1.1
starxo,M8,https://www.vlr.gg/player/565/starxo,EMEA,674855,all,,bo3,0.86,167,24,28,11,68%,108,23%,3,4,0.86
GLYPH,M8,https://www.vlr.gg/player/8286/glyph,EMEA,674855,all,,bo3,0.82,138,17,28,33,68%,93,16%,2,5,0.61
crashies,FNC,https://www.vlr.gg/player/4/crashies,EMEA,674856,all,,bo3,1.48,206,32,17,19,82%,137,29%,4,2,1.88
Boaster,FNC,https://www.vlr.gg/player/438/boaster,EMEA,674856,all,,bo3,1.21,231,33,25,15,82%,145,36%,5,3,1.32
kaajak,FNC,https://www.vlr.gg/player/9554/kaajak,EMEA,674856,all,,bo3,1.20,259,38,28,5,79%,167,47%,9,3,1.36
CyvOph,FNC,https://www.vlr.gg/player/13258/cyvoph,EMEA,674856,all,,bo3,1.01,198,26,25,19,77%,134,20%,2,3,1.04
Alfajer,FNC,https://www.vlr.gg/player/9810/alfajer,EMEA,674856,all,,bo3,0.66,157,21,30,12,64%,105,19%,4,4,0.7
Lar0k,BBL,https://www.vlr.gg/player/31305/lar0k,EMEA,674856,all,,bo3,1.16,255,34,31,9,69%,172,32%,8,5,1.1
