Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,SeriesFormat,R2.0,ACS,K,D,A,KAST,ADR,HS%,FK,FD,K:D
eKo,ZETA,https://www.vlr.gg/player/1960/eko,Pacific,673529,all,,bo3,1.18,225.0,49.0,40.0,14.0,75%,143.0,23%,7.0,3.0,1.23
Absol,ZETA,https://www.vlr.gg/player/34776/absol,Pacific,673529,all,,bo3,0.92,219.0,44.0,47.0,17.0,65%,137.0,18%,8.0,9.0,0.94
Xdll,ZETA,https://www.vlr.gg/player/25221/xdll,Pacific,673529,all,,bo3,0.92,218.0,43.0,47.0,24.0,80%,156.0,18%,6.0,8.0,0.91
SugarZ3ro,ZETA,https://www.vlr.gg/player/6668/sugarz3ro,Pacific,673529,all,,bo3,0.89,195.0,42.0,46.0,16.0,70%,124.0,28%,5.0,2.0,0.91
SyouTa,ZETA,https://www.vlr.gg/player/12990/syouta,Pacific,673529,all,,bo3,0.8,182.0,38.0,44.0,12.0,68%,124.0,21%,6.0,6.0,0.86
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673529,all,,bo3,1.21,240.0,53.0,43.0,6.0,72%,157.0,27%,7.0,5.0,1.23
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673529,all,,bo3,1.17,234.0,49.0,43.0,18.0,82%,157.0,34%,3.0,4.0,1.14
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673529,all,,bo3,0.96,176.0,36.0,41.0,15.0,62%,119.0,33%,2.0,5.0,0.88
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673529,all,,bo3,0.96,206.0,40.0,43.0,11.0,68%,142.0,30%,6.0,6.0,0.93
Klaus,VL,https://www.vlr.gg/player/4426/klaus,Pacific,673529,all,,bo3,0.94,229.0,46.0,46.0,9.0,73%,137.0,18%,10.0,12.0,1.0
Karon,GEN,https://www.vlr.gg/player/34974/karon,Pacific,673530,all,,bo3,1.18,208.0,39.0,37.0,26.0,74%,133.0,32%,3.0,5.0,1.05
t3xture,GEN,https://www.vlr.gg/player/9196/t3xture,Pacific,673530,all,,bo3,1.15,231.0,45.0,38.0,11.0,74%,143.0,21%,14.0,9.0,1.18
Ash,GEN,https://www.vlr.gg/player/25017/ash,Pacific,673530,all,,bo3,0.96,209.0,44.0,40.0,6.0,61%,118.0,28%,6.0,10.0,1.1
ZynX,GEN,https://www.vlr.gg/player/51099/zynx,Pacific,673530,all,,bo3,0.83,175.0,33.0,42.0,13.0,58%,120.0,27%,3.0,5.0,0.79
Lakia,GEN,https://www.vlr.gg/player/773/lakia,Pacific,673530,all,,bo3,0.69,134.0,24.0,43.0,21.0,65%,94.0,19%,0.0,2.0,0.56
kellyS,TS,https://www.vlr.gg/player/7437/kellys,Pacific,673530,all,,bo3,1.32,245.0,51.0,36.0,20.0,79%,162.0,24%,5.0,2.0,1.42
Zeus,TS,https://www.vlr.gg/player/46135/zeus,Pacific,673530,all,,bo3,1.11,243.0,50.0,41.0,10.0,84%,158.0,26%,11.0,10.0,1.22
BerserX,TS,https://www.vlr.gg/player/4874/berserx,Pacific,673530,all,,bo3,1.11,199.0,40.0,33.0,14.0,75%,134.0,37%,8.0,5.0,1.21
Sylvan,TS,https://www.vlr.gg/player/4056/sylvan,Pacific,673530,all,,bo3,1.08,167.0,36.0,32.0,21.0,79%,115.0,32%,3.0,2.0,1.12
JessieVash,TS,https://www.vlr.gg/player/2334/jessievash,Pacific,673530,all,,bo3,0.56,120.0,23.0,43.0,10.0,63%,79.0,26%,4.0,7.0,0.53
XuNa,VL,https://www.vlr.gg/player/42733/xuna,Pacific,673531,all,,bo3,1.2,217.0,66.0,53.0,25.0,74%,144.0,31%,3.0,7.0,1.25
Foxy9,VL,https://www.vlr.gg/player/11600/foxy9,Pacific,673531,all,,bo3,0.96,225.0,66.0,65.0,20.0,73%,139.0,24%,10.0,10.0,1.02
oonzmlp,VL,https://www.vlr.gg/player/34926/oonzmlp,Pacific,673531,all,,bo3,0.96,182.0,52.0,56.0,28.0,74%,124.0,26%,5.0,9.0,0.93
Zexy,VL,https://www.vlr.gg/player/37532/zexy,Pacific,673531,all,,bo3,0.84,185.0,52.0,62.0,10.0,67%,127.0,21%,7.0,10.0,0.84
