Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Eggsterr,ENVY,https://www.vlr.gg/player/35302/eggsterr,Americas,596399,all,,1.2,240,63,43,9,1.47,73%,144,29%,8,5,bo3
Inspire,ENVY,https://www.vlr.gg/player/53/inspire,Americas,596399,all,,1.1,224,53,45,11,1.18,69%,142,33%,8,9,bo3
Rossy,ENVY,https://www.vlr.gg/player/1129/rossy,Americas,596399,all,,1.09,206,49,44,23,1.11,76%,133,28%,5,1,bo3
keznit,ENVY,https://www.vlr.gg/player/2462/keznit,Americas,596399,all,,0.96,185,43,45,14,0.96,78%,124,35%,8,11,bo3
P0PPIN,ENVY,https://www.vlr.gg/player/21778/p0ppin,Americas,596399,all,,0.62,121,27,46,18,0.59,70%,80,21%,5,7,bo3
dgzin,EG,https://www.vlr.gg/player/8873/dgzin,Americas,596399,all,,1.04,206,50,47,11,1.06,64%,136,31%,10,8,bo3
Okeanos,EG,https://www.vlr.gg/player/8373/okeanos,Americas,596399,all,,1.01,216,54,50,17,1.08,67%,146,32%,7,9,bo3
supamen,EG,https://www.vlr.gg/player/826/supamen,Americas,596399,all,,0.98,177,39,43,21,0.91,73%,120,32%,8,2,bo3
bao,EG,https://www.vlr.gg/player/34400/bao,Americas,596399,all,,0.97,189,40,48,24,0.83,66%,123,29%,5,9,bo3
C0M,EG,https://www.vlr.gg/player/619/c0m,Americas,596399,all,,0.9,163,40,48,22,0.83,72%,109,21%,3,6,bo3
lukxo,LOUD,https://www.vlr.gg/player/28716/lukxo,Americas,596398,all,,1.09,245,40,32,6,1.25,68%,152,35%,8,6,bo3
Darker,LOUD,https://www.vlr.gg/player/10557/darker,Americas,596398,all,,1.03,211,33,32,14,1.03,73%,131,31%,3,4,bo3
