Player,Org,ProfileURL,Region,MatchID,MapNum,MapName,R2.0,ACS,K,D,A,K:D,KAST,ADR,HS%,FK,FD,SeriesFormat
Minny,M8,https://www.vlr.gg/player/23169/minny,EMEA,625788,all,,1.28,229,37,27,9,1.37,75%,143,36%,3,3,bo3
marteen,M8,https://www.vlr.gg/player/10307/marteen,EMEA,625788,all,,1.28,226,32,24,17,1.33,73%,145,30%,4,6,bo3
GLYPH,M8,https://www.vlr.gg/player/8286/glyph,EMEA,625788,all,,1.13,203,30,28,22,1.07,73%,124,24%,2,0,bo3
starxo,M8,https://www.vlr.gg/player/565/starxo,EMEA,625788,all,,1.01,168,24,25,15,0.96,66%,110,22%,4,6,bo3
bipo,M8,https://www.vlr.gg/player/18400/bipo,EMEA,625788,all,,0.84,154,25,27,8,0.93,64%,98,21%,7,9,bo3
ZmjjKK,EDG,https://www.vlr.gg/player/3520/zmjjkk,CN,625788,all,,0.99,194,32,29,3,1.1,59%,126,38%,9,7,bo3
cb,EDG,https://www.vlr.gg/player/39697/cb,CN,625788,all,,0.92,204,34,31,1,1.1,70%,132,33%,6,3,bo3
CHICHOO,EDG,https://www.vlr.gg/player/15559/chichoo,CN,625788,all,,0.86,158,24,29,7,0.83,61%,109,25%,4,4,bo3
Smoggy,EDG,https://www.vlr.gg/player/4742/smoggy,CN,625788,all,,0.83,154,22,29,13,0.76,73%,103,29%,4,3,bo3
nobody,EDG,https://www.vlr.gg/player/3017/nobody,CN,625788,all,,0.71,134,19,30,7,0.63,45%,92,14%,1,3,bo3
happywei,XLG,https://www.vlr.gg/player/37927/happywei,CN,625791,all,,0.98,217,26,26,10,1.0,66%,140,20%,5,2,bo3
Lysoar,XLG,https://www.vlr.gg/player/37489/lysoar,CN,625791,all,,0.91,150,24,26,11,0.92,82%,105,30%,0,3,bo3
Rarga,XLG,https://www.vlr.gg/player/22047/rarga,CN,625791,all,,0.75,215,28,33,8,0.85,68%,141,27%,7,6,bo3
WsLeo,XLG,https://www.vlr.gg/player/24308/wsleo,CN,625791,all,,0.64,124,17,28,10,0.61,68%,88,25%,2,3,bo3
NoMan,XLG,https://www.vlr.gg/player/11527/noman,CN,625791,all,,0.63,125,18,29,3,0.62,66%,85,41%,4,5,bo3
keiko,NRG,https://www.vlr.gg/player/11494/keiko,Americas,625791,all,,1.4,249,35,21,12,1.67,84%,156,39%,5,1,bo3
brawk,NRG,https://www.vlr.gg/player/2172/brawk,Americas,625791,all,,1.11,205,27,25,12,1.08,76%,142,21%,1,1,bo3
mada,NRG,https://www.vlr.gg/player/5132/mada,Americas,625791,all,,1.1,235,29,26,9,1.12,84%,134,26%,7,7,bo3
skuba,NRG,https://www.vlr.gg/player/11118/skuba,Americas,625791,all,,1.06,193,27,23,7,1.17,79%,118,23%,4,5,bo3
Ethan,NRG,https://www.vlr.gg/player/11225/ethan,Americas,625791,all,,1.04,146,19,20,16,0.95,74%,93,17%,2,4,bo3
valyn,G2,https://www.vlr.gg/player/3885/valyn,Americas,625790,all,,1.17,232,31,29,19,1.07,83%,160,32%,2,1,bo3
trent,G2,https://www.vlr.gg/player/15500/trent,Americas,625790,all,,1.03,189,27,28,16,0.96,68%,122,27%,3,3,bo3
leaf,G2,https://www.vlr.gg/player/7873/leaf,Americas,625790,all,,0.96,200,29,32,9,0.91,60%,130,23%,5,2,bo3
