Region,Player,Agents,Rnd,R2.0,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,CL,KMax,K,D,A,FK,FD
EMEA,CyvOphFNC,,34,1.47,255.5,2.13,88%,176.5,1.00,0.32,0.12,0.06,31%,,0/2,18,34,16,11,4,2
EMEA,RuxicNAVI,(+1),281,1.20,228.8,1.23,75%,148.0,0.81,0.38,0.09,0.06,25%,7%,3/44,24,227,184,106,25,17
EMEA,kaajakFNC,,253,1.16,241.8,1.30,72%,156.3,0.88,0.18,0.19,0.15,30%,18%,3/17,28,222,171,45,47,38
EMEA,FavianEF,(+2),275,1.14,223.5,1.17,69%,145.1,0.80,0.26,0.11,0.08,28%,25%,6/24,27,219,187,71,31,21
EMEA,purp0TL,,244,1.13,189.2,1.26,80%,122.9,0.71,0.25,0.07,0.05,40%,13%,4/30,26,174,138,61,17,12
EMEA,RieNsTH,,243,1.12,216.9,1.10,78%,142.6,0.77,0.40,0.09,0.05,36%,17%,4/23,29,188,171,96,21,12
EMEA,MiniBooTL,,244,1.11,228.9,1.25,70%,143.9,0.82,0.14,0.18,0.18,27%,13%,2/15,22,201,161,34,43,44
EMEA,BoasterFNC,(+1),253,1.11,177.8,1.10,76%,113.0,0.61,0.43,0.08,0.05,30%,18%,3/17,17,155,141,109,19,12
EMEA,AlfajerFNC,(+3),253,1.11,231.3,1.20,70%,152.5,0.84,0.19,0.14,0.13,36%,15%,4/27,33,212,177,48,35,34
EMEA,crashiesFNC,,253,1.10,173.1,1.23,74%,111.9,0.64,0.35,0.04,0.04,28%,11%,4/35,24,163,133,88,11,9
EMEA,yetujeyFUT,,281,1.09,190.5,1.10,73%,133.1,0.68,0.20,0.08,0.07,28%,21%,9/42,24,190,173,57,22,19
EMEA,hiroNAVI,(+2),281,1.08,217.3,1.11,69%,146.4,0.76,0.22,0.06,0.09,31%,9%,3/33,22,214,193,63,16,25
EMEA,nAtsTL,,244,1.08,223.2,1.17,73%,150.7,0.78,0.22,0.10,0.11,24%,10%,3/31,22,190,163,54,25,28
EMEA,marteenM8,(+1),256,1.08,219.4,1.07,73%,148.9,0.76,0.29,0.13,0.13,25%,15%,4/26,26,194,182,75,33,34
EMEA,SayonaraVIT,(+1),224,1.07,214.8,1.16,71%,143.7,0.75,0.20,0.09,0.08,28%,17%,4/24,22,168,145,45,21,18
